name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Candidatus Phaeomarinobacter ectocarpi	1458461	S	897	28	925	0.00017
Parvibaculum lavamentivorans	256618	S	524	766	1290	0.00024
Rhodobiaceae bacterium	2026785	S	450	12	462	0.00008
Chelatococcus daeguensis	444444	S	711	503	1214	0.00022
Chelatococcus sp. CO-6	1702325	S	595	472	1067	0.00019
Methylocystis sp. SC2	187303	S	444	49	493	0.00009
Methylocystis bryophila	655015	S	376	61	437	0.00008
Methylosinus trichosporium	426	S	449	85	534	0.00010
Methylocella silvestris	199596	S	379	53	432	0.00008
Beijerinckia indica	533	S	297	29	326	0.00006
Bartonella apis	1686310	S	206	29	235	0.00004
Bartonella schoenbuchensis	165694	S	49	41	90	0.00002
Bartonella quintana	803	S	41	11	52	0.00001
Bartonella australis	388640	S	36	9	45	0.00001
Bartonella vinsonii	33047	S	23	8	31	0.00001
Bartonella henselae	38323	S	22	7	29	0.00001
Bartonella birtlesii	111504	S	17	6	23	0.00000
Bartonella tribocorum	85701	S	14	46	60	0.00001
Bartonella grahamii	33045	S	13	7	20	0.00000
Bartonella bovis	155194	S	13	6	19	0.00000
Bartonella bacilliformis	774	S	11	3	14	0.00000
Sphingomonas wittichii	160791	S	795	373	1168	0.00021
Sphingomonas sp. KC8	1030157	S	680	36	716	0.00013
Sphingomonas hengshuiensis	1609977	S	669	38	707	0.00013
Sphingomonas sanxanigenens	397260	S	597	234	831	0.00015
Sphingomonas sp. MM-1	745310	S	588	906	1494	0.00027
Sphingomonas sp. LK11	1390395	S	541	135	676	0.00012
Sphingomonas koreensis	93064	S	522	313	835	0.00015
Sphingomonas sp. Cra20	1327635	S	518	29	547	0.00010
Sphingomonas taxi	1549858	S	502	67	569	0.00010
Sphingomonas sp. FARSPH	2219696	S	492	379	871	0.00016
Sphingomonas panacis	1560345	S	481	35	516	0.00009
Sphingomonas indica	941907	S	447	27	474	0.00009
Sphingomonas sp. LM7	1938607	S	419	38	457	0.00008
Sphingomonas sp. JJ-A5	1921510	S	385	480	865	0.00016
Sphingomonas sp. NIC1	1961362	S	270	484	754	0.00014
Sphingomonas melonis	152682	S	228	370	598	0.00011
Sphingobium yanoikuyae	13690	S	777	277	1054	0.00019
Sphingobium sp. SYK-6	627192	S	660	213	873	0.00016
Sphingobium sp. YG1	2082188	S	610	228	838	0.00015
Sphingobium cloacae	120107	S	460	542	1002	0.00018
Sphingobium sp. RAC03	1843368	S	457	62	519	0.00009
Sphingobium hydrophobicum	1673076	S	449	296	745	0.00014
Sphingobium sp. TKS	1315974	S	428	793	1221	0.00022
Sphingobium sp. YBL2	484429	S	389	338	727	0.00013
Sphingobium baderi	1332080	S	379	639	1018	0.00019
Sphingobium sp. EP60837	1855519	S	360	107	467	0.00009
Sphingobium sp. SCG-1	2072936	S	311	10	321	0.00006
Sphingobium sp. MI1205	407020	S	303	572	875	0.00016
Sphingobium chlorophenolicum	46429	S	288	121	409	0.00007
Sphingobium herbicidovorans	76947	S	242	290	532	0.00010
Sphingobium japonicum	332056	S	158	419	577	0.00011
Sphingobium indicum	332055	S	116	407	523	0.00010
Sphingopyxis macrogoltabida	33050	S	785	369	1154	0.00021
Sphingopyxis sp. 113P3	292913	S	460	180	640	0.00012
Sphingopyxis sp. QXT-31	1357916	S	445	42	487	0.00009
Sphingopyxis terrae	33052	S	430	130	560	0.00010
Sphingopyxis sp. EG6	1874061	S	414	237	651	0.00012
Sphingopyxis sp. FD7	1914525	S	405	105	510	0.00009
Sphingopyxis granuli	267128	S	368	1252	1620	0.00030
Sphingopyxis alaskensis	117207	S	327	44	371	0.00007
Sphingopyxis sp. WS5A3p	2054227	S	318	186	504	0.00009
Sphingopyxis fribergensis	1515612	S	175	49	224	0.00004
Sphingopyxis sp. LPB0140	1913578	S	74	2	76	0.00001
Sphingopyxis sp. MG	1866325	S	53	293	346	0.00006
Novosphingobium resinovorum	158500	S	922	383	1305	0.00024
Novosphingobium aromaticivorans	48935	S	659	103	762	0.00014
Novosphingobium sp. P6W	1609758	S	649	50	699	0.00013
Novosphingobium sp. THN1	1016987	S	622	71	693	0.00013
Novosphingobium sp. PP1Y	702113	S	393	409	802	0.00015
Novosphingobium pentaromativorans	205844	S	336	671	1007	0.00018
Sphingorhabdus sp. Alg231-15	1922222	S	1324	48	1372	0.00025
Sphingorhabdus sp. YGSMI21	2077182	S	638	143	781	0.00014
Sphingorhabdus sp. M41	1806885	S	534	67	601	0.00011
Sphingorhabdus flavimaris	266812	S	511	113	624	0.00011
Citromicrobium sp. JL477	1634516	S	1025	223	1248	0.00023
Blastomonas sp. RAC04	1842535	S	229	285	514	0.00009
Blastomonas fulva	1550728	S	158	215	373	0.00007
Zymomonas mobilis	542	S	582	483	1065	0.00019
Rhizorhabdus dicambivorans	1850238	S	571	408	979	0.00018
Erythrobacter litoralis	39960	S	2051	965	3016	0.00055
Erythrobacter gangjinensis	502682	S	1077	51	1128	0.00021
Erythrobacter sp. HL-111	1798193	S	1062	136	1198	0.00022
Erythrobacter atlanticus	1648404	S	1041	449	1490	0.00027
Erythrobacter seohaensis	266951	S	964	115	1079	0.00020
Erythrobacter flavus	192812	S	914	747	1661	0.00030
Erythrobacter sp. KY5	2011159	S	822	39	861	0.00016
Erythrobacter sp. YH-07	2182384	S	607	58	665	0.00012
Erythrobacter sp. Alg231-14	1922225	S	325	13	338	0.00006
Altererythrobacter namhicola	645517	S	942	104	1046	0.00019
Altererythrobacter epoxidivorans	361183	S	862	161	1023	0.00019
Altererythrobacter atlanticus	1267766	S	781	488	1269	0.00023
Altererythrobacter sp. B11	2060312	S	732	339	1071	0.00020
Altererythrobacter marensis	543877	S	638	70	708	0.00013
Altererythrobacter dongtanensis	692370	S	520	70	590	0.00011
Altererythrobacter sp. ZODW24	2185142	S	466	14	480	0.00009
Altererythrobacter mangrovi	1982042	S	453	72	525	0.00010
Altererythrobacter ishigakiensis	476157	S	408	17	425	0.00008
Porphyrobacter HT-58-2	2023229	S	913	223	1136	0.00021
Porphyrobacter sp. CACIAM 03H1	2003315	S	709	193	902	0.00016
Porphyrobacter sp. LM 6	1896196	S	665	175	840	0.00015
Porphyrobacter neustonensis	1112	S	663	110	773	0.00014
Croceicoccus marinus	450378	S	1329	719	2048	0.00037
Croceicoccus naphthovorans	1348774	S	831	1659	2490	0.00045
Azospirillum thiophilum	528244	S	1509	465	1974	0.00036
Azospirillum brasilense	192	S	1360	1069	2429	0.00044
Azospirillum lipoferum	193	S	952	564	1516	0.00028
Azospirillum sp. M2T2B2	682998	S	581	411	992	0.00018
Azospirillum humicireducens	1226968	S	441	360	801	0.00015
Azospirillum sp. TSH58	664962	S	393	616	1009	0.00018
Magnetospirillum gryphiswaldense	55518	S	770	66	836	0.00015
Magnetospirillum magneticum	84159	S	590	180	770	0.00014
Magnetospirillum sp. XM-1	1663591	S	372	171	543	0.00010
Magnetospirillum sp. ME-1	1639348	S	357	195	552	0.00010
Thalassospira xiamenensis	220697	S	785	68	853	0.00016
Thalassospira marina	2048283	S	751	59	810	0.00015
Rhodospirillum centenum	34018	S	755	194	949	0.00017
Rhodospirillum rubrum	1085	S	621	7	628	0.00011
Tistrella mobilis	171437	S	1241	1810	3051	0.00056
Nitrospirillum amazonense	28077	S	881	112	993	0.00018
Rhodospirillaceae bacterium SCSIO 08040	2220096	S	763	116	879	0.00016
Pararhodospirillum photometricum	1084	S	756	93	849	0.00015
Niveispirillum cyanobacteriorum	1612173	S	657	95	752	0.00014
Magnetospira sp. QH-2	1288970	S	508	10	518	0.00009
Haematospirillum jordaniae	1549855	S	86	6	92	0.00002
Candidatus Endolissoclinum faulkneri	1263979	S	12	0	12	0.00000
Komagataeibacter saccharivorans	265959	S	416	385	801	0.00015
Komagataeibacter hansenii	436	S	320	42	362	0.00007
Komagataeibacter nataicola	265960	S	257	141	398	0.00007
Komagataeibacter medellinensis	1177712	S	212	236	448	0.00008
Komagataeibacter europaeus	33995	S	182	197	379	0.00007
Komagataeibacter xylinus	28448	S	137	139	276	0.00005
Acetobacter aceti	435	S	358	24	382	0.00007
Acetobacter ghanensis	431306	S	199	35	234	0.00004
Acetobacter persici	1076596	S	187	12	199	0.00004
Acetobacter tropicalis	104102	S	159	88	247	0.00005
Acetobacter pasteurianus	438	S	157	318	475	0.00009
Acetobacter ascendens	481146	S	101	72	173	0.00003
Acetobacter senegalensis	446692	S	14	7	21	0.00000
Roseomonas gilardii	257708	S	507	266	773	0.00014
Roseomonas sp. FDAARGOS_362	2018065	S	495	385	880	0.00016
Acidiphilium multivorum	62140	S	172	567	739	0.00013
Acidiphilium cryptum	524	S	41	146	187	0.00003
Gluconobacter oxydans	442	S	405	117	522	0.00010
Gluconobacter albidus	318683	S	176	49	225	0.00004
Acidisphaera sp. G45-3	1969806	S	620	45	665	0.00012
Granulibacter bethesdensis	364410	S	578	33	611	0.00011
Gluconacetobacter diazotrophicus	33996	S	456	53	509	0.00009
Kozakia baliensis	153496	S	328	83	411	0.00007
Asaia bogorensis	91915	S	270	22	292	0.00005
Neoasaia chiangmaiensis	320497	S	130	17	147	0.00003
Parasaccharibacter apium	1510841	S	98	5	103	0.00002
Brevundimonas subvibrioides	74313	S	628	112	740	0.00013
Brevundimonas naejangsanensis	588932	S	443	131	574	0.00010
Brevundimonas sp. LM2	1938605	S	431	71	502	0.00009
Brevundimonas sp. DS20	1532555	S	361	231	592	0.00011
Brevundimonas diminuta	293	S	321	202	523	0.00010
Brevundimonas vesicularis	41276	S	183	187	370	0.00007
Brevundimonas sp. GW460-12-10-14-LB2	1827469	S	157	219	376	0.00007
Caulobacter vibrioides	155892	S	725	240	965	0.00018
Caulobacter mirabilis	69666	S	491	96	587	0.00011
Caulobacter sp. K31	366602	S	457	77	534	0.00010
Caulobacter segnis	88688	S	441	153	594	0.00011
Caulobacter henricii	69395	S	415	89	504	0.00009
Phenylobacterium zucineum	284016	S	1087	249	1336	0.00024
Phenylobacterium sp. HYN0004	2201350	S	394	45	439	0.00008
Asticcacaulis excentricus	78587	S	378	21	399	0.00007
Caulobacteraceae bacterium OTSz_A_272	1759059	S	373	4	377	0.00007
Polymorphum gilvum	991904	S	5306	1245	6551	0.00119
Phreatobacter cathodiphilus	1868589	S	859	142	1001	0.00018
Micavibrio aeruginosavorus	349221	S	478	3	481	0.00009
Candidatus Puniceispirillum marinum	767892	S	178	6	184	0.00003
Parvularcula bermudensis	208216	S	798	15	813	0.00015
Rickettsia australis	787	S	12	72	84	0.00002
Orientia tsutsugamushi	784	S	29	4	33	0.00001
Candidatus Phycorickettsia trachydisci	2115978	S	28	1	29	0.00001
Neorickettsia sennetsu	951	S	37	4	41	0.00001
Neorickettsia helminthoeca	33994	S	12	1	13	0.00000
Ehrlichia ruminantium	779	S	18	9	27	0.00000
Candidatus Midichloria mitochondrii	234827	S	19	4	23	0.00000
Rickettsiales bacterium Ac37b	1528098	S	14	7	21	0.00000
Candidatus Pelagibacter sp. RS39	1977864	S	32	8	40	0.00001
Candidatus Pelagibacter sp. HIMB1321	1388755	S	17	4	21	0.00000
Candidatus Pelagibacter ubique	198252	S	11	2	13	0.00000
alpha proteobacterium HIMB59	744985	S	18	0	18	0.00000
alpha proteobacterium HIMB5	859653	S	11	3	14	0.00000
Candidatus Fonsibacter ubiquis	1925548	S	27	9	36	0.00001
Magnetococcus marinus	1124597	S	145	1	146	0.00003
Candidatus Paracaedibacter acanthamoebae	91604	S	62	0	62	0.00001
Candidatus Nucleicultrix amoebiphila	1509244	S	50	1	51	0.00001
endosymbiont of Acanthamoeba sp. UWC8	86106	S	13	0	13	0.00000
Pseudoalteromonas spongiae	298657	S	532871	57091	589962	0.10759
Pseudoalteromonas piratica	1348114	S	11643	1171	12814	0.00234
Pseudoalteromonas phenolica	161398	S	1523	185	1708	0.00031
Pseudoalteromonas piscicida	43662	S	659	96	755	0.00014
Pseudoalteromonas arctica	394751	S	626	125	751	0.00014
Pseudoalteromonas donghaensis	621376	S	311	58	369	0.00007
Pseudoalteromonas tunicata	314281	S	287	27	314	0.00006
Pseudoalteromonas luteoviolacea	43657	S	228	26	254	0.00005
Pseudoalteromonas rubra	43658	S	92	8	100	0.00002
Pseudoalteromonas carrageenovora	227	S	91	12	103	0.00002
Pseudoalteromonas atlantica	288	S	67	10	77	0.00001
Pseudoalteromonas sp. 13-15	1761891	S	66	35	101	0.00002
Pseudoalteromonas sp. NC201	1514074	S	55	12	67	0.00001
Pseudoalteromonas aliena	247523	S	51	7	58	0.00001
Pseudoalteromonas espejiana	28107	S	48	5	53	0.00001
Pseudoalteromonas marina	267375	S	40	25	65	0.00001
Pseudoalteromonas tetraodonis	43659	S	36	82	118	0.00002
Pseudoalteromonas agarivorans	176102	S	32	16	48	0.00001
Pseudoalteromonas translucida	166935	S	25	6	31	0.00001
Pseudoalteromonas issachenkonii	152297	S	22	31	53	0.00001
Pseudoalteromonas sp. SM9913	234831	S	16	38	54	0.00001
Pseudoalteromonas haloplanktis	228	S	11	18	29	0.00001
Marinobacter sp. CP1	1671721	S	2594	1221	3815	0.00070
Marinobacter sp. es.042	1761794	S	1747	400	2147	0.00039
Marinobacter hydrocarbonoclasticus	2743	S	1649	535	2184	0.00040
Marinobacter salarius	1420917	S	521	33	554	0.00010
Marinobacter similis	1420916	S	489	17	506	0.00009
Marinobacter sp. Arc7-DN-1	2304594	S	465	30	495	0.00009
Marinobacter salinus	1874317	S	375	21	396	0.00007
Marinobacter sp. LQ44	1749259	S	288	77	365	0.00007
Marinobacter sp. LV10R510-11A	1415568	S	142	4	146	0.00003
Marinobacter psychrophilus	330734	S	112	30	142	0.00003
