name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Martelella endophytica	1486262	S	1540	466	2006	0.00056
Aureimonas sp. AU20	1349819	S	1397	243	1640	0.00046
Methylobacterium sp. 4-46	426117	S	865	202	1067	0.00030
Methylobacterium nodulans	114616	S	784	135	919	0.00026
Methylobacterium sp. 17Sr1-43	2202828	S	679	216	895	0.00025
Methylobacterium aquaticum	270351	S	518	226	744	0.00021
Methylobacterium sp. 17SD2-17	2202825	S	489	99	588	0.00016
Methylobacterium currus	2051553	S	481	296	777	0.00022
Methylobacterium sp. 17Sr1-1	2202826	S	476	234	710	0.00020
Methylobacterium sp. 17Sr1-28	2202827	S	387	186	573	0.00016
Methylobacterium sp. AMS5	925818	S	203	241	444	0.00012
Methylobacterium sp. C1	1479019	S	167	1266	1433	0.00040
Methylobacterium sp. DM1	2067957	S	153	150	303	0.00008
Methylobacterium radiotolerans	31998	S	68	428	496	0.00014
Methylobacterium phyllosphaerae	418223	S	64	324	388	0.00011
Methylobacterium sp. XJLM	1826873	S	16	344	360	0.00010
Methylorubrum populi	223967	S	1162	805	1967	0.00055
Methylorubrum extorquens	408	S	691	1209	1900	0.00053
Methylorubrum zatmanii	29429	S	23	216	239	0.00007
Microvirga ossetica	1882682	S	705	118	823	0.00023
Microvirga sp. 17 mud 1-3	2082949	S	697	192	889	0.00025
Hartmannibacter diazotrophicus	1482074	S	2108	527	2635	0.00073
Methyloceanibacter sp. wino2	2170729	S	932	247	1179	0.00033
Methyloceanibacter caenitepidi	1384459	S	543	132	675	0.00019
Pseudorhodoplanes sinuspersici	1235591	S	1445	170	1615	0.00045
Ochrobactrum anthropi	529	S	1088	2603	3691	0.00103
Ochrobactrum sp. A44	271865	S	797	159	956	0.00027
Ochrobactrum pituitosum	571256	S	266	287	553	0.00015
Ochrobactrum pseudogrignonense	419475	S	143	151	294	0.00008
Brucella vulpis	981386	S	600	644	1244	0.00035
Brucella sp. 09RB8910	1844051	S	275	358	633	0.00018
Brucella sp. 141012304	1885919	S	203	320	523	0.00015
Brucella sp. 09RB8471	1149952	S	110	186	296	0.00008
Breoghania sp. L-A4	2304600	S	2388	386	2774	0.00077
Cohaesibacter sp. ES.047	1798205	S	1892	112	2004	0.00056
Chelatococcus daeguensis	444444	S	2430	1261	3691	0.00103
Chelatococcus sp. CO-6	1702325	S	1071	704	1775	0.00049
Starkeya novella	921	S	1295	556	1851	0.00052
Azorhizobium caulinodans	7	S	1124	297	1421	0.00040
Xanthobacter autotrophicus	280	S	1072	812	1884	0.00053
Pseudolabrys taiwanensis	331696	S	449	111	560	0.00016
Anderseniella sp. Alg231-50	1922226	S	1125	76	1201	0.00033
Parvibaculum lavamentivorans	256618	S	862	1523	2385	0.00066
Rhodobiaceae bacterium	2026785	S	798	16	814	0.00023
Candidatus Phaeomarinobacter ectocarpi	1458461	S	674	26	700	0.00020
Methylocystis sp. SC2	187303	S	583	66	649	0.00018
Methylocystis bryophila	655015	S	252	45	297	0.00008
Methylosinus trichosporium	426	S	519	99	618	0.00017
Methylocella silvestris	199596	S	445	60	505	0.00014
Beijerinckia indica	533	S	413	40	453	0.00013
Bartonella apis	1686310	S	249	36	285	0.00008
Bartonella schoenbuchensis	165694	S	119	113	232	0.00006
Bartonella bovis	155194	S	50	25	75	0.00002
Bartonella sp. OE 1-1	545612	S	48	35	83	0.00002
Bartonella vinsonii	33047	S	22	9	31	0.00001
Bartonella birtlesii	111504	S	20	9	29	0.00001
Bartonella clarridgeiae	56426	S	19	14	33	0.00001
Bartonella ancashensis	1318743	S	11	3	14	0.00000
Sphingobium sp. YG1	2082188	S	888	370	1258	0.00035
Sphingobium sp. SCG-1	2072936	S	703	32	735	0.00020
Sphingobium sp. YBL2	484429	S	604	657	1261	0.00035
Sphingobium yanoikuyae	13690	S	594	236	830	0.00023
Sphingobium sp. SYK-6	627192	S	575	194	769	0.00021
Sphingobium sp. TKS	1315974	S	474	1174	1648	0.00046
Sphingobium sp. RAC03	1843368	S	467	67	534	0.00015
Sphingobium herbicidovorans	76947	S	446	723	1169	0.00033
Sphingobium cloacae	120107	S	391	494	885	0.00025
Sphingobium indicum	332055	S	275	1210	1485	0.00041
Sphingobium hydrophobicum	1673076	S	275	186	461	0.00013
Sphingobium chlorophenolicum	46429	S	270	109	379	0.00011
Sphingobium baderi	1332080	S	211	478	689	0.00019
Sphingobium sp. EP60837	1855519	S	192	75	267	0.00007
Sphingobium sp. MI1205	407020	S	168	406	574	0.00016
Sphingobium japonicum	332056	S	61	183	244	0.00007
Sphingomonas wittichii	160791	S	849	763	1612	0.00045
Sphingomonas sp. LK11	1390395	S	688	203	891	0.00025
Sphingomonas sp. Cra20	1327635	S	605	38	643	0.00018
Sphingomonas hengshuiensis	1609977	S	592	40	632	0.00018
Sphingomonas sanxanigenens	397260	S	475	218	693	0.00019
Sphingomonas sp. JJ-A5	1921510	S	417	607	1024	0.00029
Sphingomonas sp. NIC1	1961362	S	381	579	960	0.00027
Sphingomonas melonis	152682	S	335	410	745	0.00021
Sphingomonas indica	941907	S	335	26	361	0.00010
Sphingomonas sp. MM-1	745310	S	323	618	941	0.00026
Sphingomonas taxi	1549858	S	322	50	372	0.00010
Sphingomonas sp. KC8	1030157	S	320	21	341	0.00010
Sphingomonas sp. FARSPH	2219696	S	309	305	614	0.00017
Sphingomonas sp. LM7	1938607	S	300	33	333	0.00009
Sphingomonas koreensis	93064	S	290	195	485	0.00014
Sphingomonas panacis	1560345	S	276	25	301	0.00008
Sphingopyxis macrogoltabida	33050	S	844	494	1338	0.00037
Sphingopyxis sp. EG6	1874061	S	718	624	1342	0.00037
Sphingopyxis terrae	33052	S	637	255	892	0.00025
Sphingopyxis sp. 113P3	292913	S	628	307	935	0.00026
Sphingopyxis sp. FD7	1914525	S	416	128	544	0.00015
Sphingopyxis sp. QXT-31	1357916	S	350	43	393	0.00011
Sphingopyxis sp. WS5A3p	2054227	S	256	188	444	0.00012
Sphingopyxis alaskensis	117207	S	242	43	285	0.00008
Sphingopyxis fribergensis	1515612	S	147	48	195	0.00005
Sphingopyxis granuli	267128	S	127	553	680	0.00019
Sphingopyxis sp. LPB0140	1913578	S	35	1	36	0.00001
Sphingopyxis sp. MG	1866325	S	28	202	230	0.00006
Novosphingobium resinovorum	158500	S	1223	685	1908	0.00053
Novosphingobium aromaticivorans	48935	S	630	106	736	0.00021
Novosphingobium sp. THN1	1016987	S	615	81	696	0.00019
Novosphingobium sp. P6W	1609758	S	546	53	599	0.00017
Novosphingobium pentaromativorans	205844	S	312	628	940	0.00026
Novosphingobium sp. PP1Y	702113	S	306	272	578	0.00016
Sphingorhabdus sp. M41	1806885	S	685	76	761	0.00021
Sphingorhabdus flavimaris	266812	S	433	79	512	0.00014
Sphingorhabdus sp. YGSMI21	2077182	S	318	59	377	0.00011
Sphingorhabdus sp. Alg231-15	1922222	S	180	18	198	0.00006
Blastomonas sp. RAC04	1842535	S	214	456	670	0.00019
Blastomonas fulva	1550728	S	126	295	421	0.00012
Rhizorhabdus dicambivorans	1850238	S	925	682	1607	0.00045
Citromicrobium sp. JL477	1634516	S	579	144	723	0.00020
Zymomonas mobilis	542	S	366	708	1074	0.00030
Erythrobacter litoralis	39960	S	1458	533	1991	0.00056
Erythrobacter flavus	192812	S	1199	835	2034	0.00057
Erythrobacter sp. HL-111	1798193	S	722	96	818	0.00023
Erythrobacter sp. Alg231-14	1922225	S	540	31	571	0.00016
Erythrobacter atlanticus	1648404	S	518	222	740	0.00021
Erythrobacter sp. KY5	2011159	S	465	24	489	0.00014
Erythrobacter seohaensis	266951	S	405	49	454	0.00013
Erythrobacter sp. YH-07	2182384	S	317	33	350	0.00010
Erythrobacter gangjinensis	502682	S	286	15	301	0.00008
Altererythrobacter epoxidivorans	361183	S	621	123	744	0.00021
Altererythrobacter namhicola	645517	S	613	78	691	0.00019
Altererythrobacter atlanticus	1267766	S	529	328	857	0.00024
Altererythrobacter mangrovi	1982042	S	511	89	600	0.00017
Altererythrobacter sp. B11	2060312	S	463	229	692	0.00019
Altererythrobacter ishigakiensis	476157	S	434	21	455	0.00013
Altererythrobacter sp. ZODW24	2185142	S	411	16	427	0.00012
Altererythrobacter dongtanensis	692370	S	382	59	441	0.00012
Altererythrobacter marensis	543877	S	360	44	404	0.00011
Porphyrobacter HT-58-2	2023229	S	881	277	1158	0.00032
Porphyrobacter neustonensis	1112	S	446	96	542	0.00015
Porphyrobacter sp. CACIAM 03H1	2003315	S	441	154	595	0.00017
Porphyrobacter sp. LM 6	1896196	S	283	96	379	0.00011
Croceicoccus marinus	450378	S	1418	789	2207	0.00062
Croceicoccus naphthovorans	1348774	S	287	648	935	0.00026
Azospirillum brasilense	192	S	1976	1583	3559	0.00099
Azospirillum thiophilum	528244	S	1587	563	2150	0.00060
Azospirillum lipoferum	193	S	1078	617	1695	0.00047
Azospirillum sp. M2T2B2	682998	S	424	300	724	0.00020
Azospirillum sp. TSH58	664962	S	319	472	791	0.00022
Azospirillum humicireducens	1226968	S	296	234	530	0.00015
Magnetospirillum gryphiswaldense	55518	S	1167	141	1308	0.00036
Magnetospirillum magneticum	84159	S	630	227	857	0.00024
Magnetospirillum sp. XM-1	1663591	S	537	281	818	0.00023
Magnetospirillum sp. ME-1	1639348	S	204	127	331	0.00009
Thalassospira xiamenensis	220697	S	1182	172	1354	0.00038
Thalassospira marina	2048283	S	615	92	707	0.00020
Rhodospirillum rubrum	1085	S	971	23	994	0.00028
Rhodospirillum centenum	34018	S	911	280	1191	0.00033
Tistrella mobilis	171437	S	1484	2633	4117	0.00115
Pararhodospirillum photometricum	1084	S	1282	197	1479	0.00041
Nitrospirillum amazonense	28077	S	1235	191	1426	0.00040
Niveispirillum cyanobacteriorum	1612173	S	867	181	1048	0.00029
Rhodospirillaceae bacterium SCSIO 08040	2220096	S	829	153	982	0.00027
Magnetospira sp. QH-2	1288970	S	676	22	698	0.00019
Haematospirillum jordaniae	1549855	S	151	14	165	0.00005
Candidatus Endolissoclinum faulkneri	1263979	S	17	0	17	0.00000
Komagataeibacter saccharivorans	265959	S	842	574	1416	0.00039
Komagataeibacter xylinus	28448	S	512	350	862	0.00024
Komagataeibacter nataicola	265960	S	386	149	535	0.00015
Komagataeibacter hansenii	436	S	365	43	408	0.00011
Komagataeibacter europaeus	33995	S	191	123	314	0.00009
Komagataeibacter medellinensis	1177712	S	162	149	311	0.00009
Acetobacter pasteurianus	438	S	315	530	845	0.00024
Acetobacter aceti	435	S	269	21	290	0.00008
Acetobacter persici	1076596	S	243	20	263	0.00007
Acetobacter ascendens	481146	S	218	143	361	0.00010
Acetobacter ghanensis	431306	S	134	28	162	0.00005
Acetobacter tropicalis	104102	S	25	10	35	0.00001
Acetobacter senegalensis	446692	S	19	8	27	0.00001
Roseomonas gilardii	257708	S	573	346	919	0.00026
Roseomonas sp. FDAARGOS_362	2018065	S	454	465	919	0.00026
Acidiphilium multivorum	62140	S	209	1111	1320	0.00037
Acidiphilium cryptum	524	S	19	109	128	0.00004
Gluconobacter oxydans	442	S	1017	283	1300	0.00036
Gluconobacter albidus	318683	S	229	46	275	0.00008
Granulibacter bethesdensis	364410	S	632	62	694	0.00019
Acidisphaera sp. G45-3	1969806	S	568	68	636	0.00018
Asaia bogorensis	91915	S	487	60	547	0.00015
Gluconacetobacter diazotrophicus	33996	S	281	45	326	0.00009
Neoasaia chiangmaiensis	320497	S	211	33	244	0.00007
Kozakia baliensis	153496	S	162	45	207	0.00006
Parasaccharibacter apium	1510841	S	93	7	100	0.00003
Polymorphum gilvum	991904	S	10391	4352	14743	0.00411
Phreatobacter cathodiphilus	1868589	S	1015	285	1300	0.00036
Micavibrio aeruginosavorus	349221	S	1009	16	1025	0.00029
Candidatus Puniceispirillum marinum	767892	S	801	51	852	0.00024
Caulobacter henricii	69395	S	690	208	898	0.00025
Caulobacter sp. K31	366602	S	586	140	726	0.00020
Caulobacter mirabilis	69666	S	501	141	642	0.00018
Caulobacter segnis	88688	S	491	236	727	0.00020
Caulobacter vibrioides	155892	S	468	217	685	0.00019
Brevundimonas sp. LM2	1938605	S	448	86	534	0.00015
Brevundimonas subvibrioides	74313	S	361	81	442	0.00012
Brevundimonas sp. DS20	1532555	S	268	189	457	0.00013
Brevundimonas naejangsanensis	588932	S	246	88	334	0.00009
Brevundimonas diminuta	293	S	230	219	449	0.00013
Brevundimonas vesicularis	41276	S	225	247	472	0.00013
Brevundimonas sp. GW460-12-10-14-LB2	1827469	S	129	186	315	0.00009
Phenylobacterium zucineum	284016	S	592	202	794	0.00022
Phenylobacterium sp. HYN0004	2201350	S	446	65	511	0.00014
Asticcacaulis excentricus	78587	S	806	75	881	0.00025
Caulobacteraceae bacterium OTSz_A_272	1759059	S	490	9	499	0.00014
Parvularcula bermudensis	208216	S	916	31	947	0.00026
Rickettsia helvetica	35789	S	95	44	139	0.00004
Rickettsia endosymbiont of Ixodes scapularis	444612	S	52	77	129	0.00004
Rickettsia sibirica	35793	S	17	49	66	0.00002
Rickettsia bellii	33990	S	12	32	44	0.00001
Orientia tsutsugamushi	784	S	15	0	15	0.00000
Wolbachia endosymbiont of Folsomia candida	169402	S	33	90	123	0.00003
Neorickettsia helminthoeca	33994	S	22	53	75	0.00002
Rickettsiales bacterium Ac37b	1528098	S	35	7	42	0.00001
Candidatus Midichloria mitochondrii	234827	S	14	1	15	0.00000
Candidatus Pelagibacter sp. IMCC9063	1002672	S	71	9	80	0.00002
Candidatus Pelagibacter ubique	198252	S	64	14	78	0.00002
Candidatus Pelagibacter sp. HIMB1321	1388755	S	37	9	46	0.00001
Candidatus Pelagibacter sp. RS40	1977865	S	32	4	36	0.00001
Candidatus Pelagibacter sp. RS39	1977864	S	18	4	22	0.00001
alpha proteobacterium HIMB59	744985	S	63	2	65	0.00002
Candidatus Paracaedibacter acanthamoebae	91604	S	61	37	98	0.00003
Candidatus Nucleicultrix amoebiphila	1509244	S	52	19	71	0.00002
endosymbiont of Acanthamoeba sp. UWC8	86106	S	11	0	11	0.00000
Magnetococcus marinus	1124597	S	142	2	144	0.00004
Pseudomonas fluorescens	294	S	951	1740	2691	0.00075
Pseudomonas protegens	380021	S	442	336	778	0.00022
Pseudomonas extremorientalis	169669	S	268	264	532	0.00015
Pseudomonas azotoformans	47878	S	255	293	548	0.00015
Pseudomonas corrugata	47879	S	232	124	356	0.00010
Pseudomonas trivialis	200450	S	230	175	405	0.00011
Pseudomonas orientalis	76758	S	224	168	392	0.00011
Pseudomonas veronii	76761	S	192	729	921	0.00026
Pseudomonas mandelii	75612	S	185	217	402	0.00011
Pseudomonas mediterranea	183795	S	125	70	195	0.00005
Pseudomonas tolaasii	29442	S	118	47	165	0.00005
Pseudomonas rhodesiae	76760	S	111	418	529	0.00015
Pseudomonas synxantha	47883	S	71	116	187	0.00005
Pseudomonas brenneri	129817	S	68	54	122	0.00003
Pseudomonas mucidolens	46679	S	53	24	77	0.00002
Pseudomonas cedrina	651740	S	41	26	67	0.00002
Pseudomonas poae	200451	S	39	30	69	0.00002
Pseudomonas aeruginosa	287	S	1237	4039	5276	0.00147
Pseudomonas citronellolis	53408	S	562	446	1008	0.00028
Pseudomonas mendocina	300	S	557	491	1048	0.00029
Pseudomonas furukawaii	1149133	S	335	265	600	0.00017
Pseudomonas pseudoalcaligenes	330	S	52	561	613	0.00017
Pseudomonas alcaligenes	43263	S	320	111	431	0.00012
Pseudomonas resinovorans	53412	S	243	112	355	0.00010
Pseudomonas putida	303	S	1495	3780	5275	0.00147
Pseudomonas monteilii	76759	S	218	154	372	0.00010
Pseudomonas fulva	47880	S	206	126	332	0.00009
Pseudomonas oryzihabitans	47885	S	118	36	154	0.00004
Pseudomonas plecoglossicida	70775	S	86	297	383	0.00011
Pseudomonas mosselii	78327	S	20	159	179	0.00005
Pseudomonas stutzeri	316	S	1451	1735	3186	0.00089
Pseudomonas balearica	74829	S	202	489	691	0.00019
Pseudomonas xanthomarina	271420	S	134	59	193	0.00005
Pseudomonas syringae	317	S	515	1313	1828	0.00051
