name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium leguminosarum	384	S	3808	1161	4969	0.00120
Rhizobium etli	29449	S	1357	918	2275	0.00055
Rhizobium sp. NT-26	1125847	S	1357	474	1831	0.00044
Rhizobium sp. ACO-34A	1571470	S	1004	384	1388	0.00033
Rhizobium favelukesii	348824	S	965	599	1564	0.00038
Rhizobium gallicum	56730	S	944	235	1179	0.00028
Rhizobium tropici	398	S	725	165	890	0.00021
Rhizobium sp. NXC24	2048897	S	668	133	801	0.00019
Rhizobium sp. 11515TR	2028343	S	665	137	802	0.00019
Rhizobium phaseoli	396	S	608	601	1209	0.00029
Rhizobium sp. CIAT894	2020312	S	459	158	617	0.00015
Rhizobium sp. S41	1869170	S	391	3114	3505	0.00084
Rhizobium sp. NXC14	1981173	S	373	98	471	0.00011
Rhizobium sp. IRBG74	424182	S	114	460	574	0.00014
Rhizobium sp. Y9	1914541	S	90	370	460	0.00011
Rhizobium sp. Kim5	2020311	S	88	85	173	0.00004
Rhizobium sp. IE4771	1301032	S	79	73	152	0.00004
Rhizobium sp. N113	1703960	S	72	6762	6834	0.00165
Rhizobium sp. TAL182	2020313	S	70	89	159	0.00004
Agrobacterium tumefaciens	358	S	1987	2277	4264	0.00103
Agrobacterium fabrum	1176649	S	426	235	661	0.00016
Agrobacterium sp. RAC06	1842536	S	856	253	1109	0.00027
Agrobacterium rhizogenes	359	S	772	399	1171	0.00028
Agrobacterium vitis	373	S	728	138	866	0.00021
Agrobacterium sp. H13-3	861208	S	45	229	274	0.00007
Neorhizobium galegae	399	S	1848	414	2262	0.00055
Neorhizobium sp. NCHU2750	1825976	S	863	359	1222	0.00029
Neorhizobium sp. SOG26	2060726	S	784	349	1133	0.00027
Sinorhizobium fredii	380	S	3008	4040	7048	0.00170
Sinorhizobium meliloti	382	S	1438	752	2190	0.00053
Sinorhizobium sp. RAC02	1842534	S	990	394	1384	0.00033
Sinorhizobium americanum	194963	S	773	423	1196	0.00029
Sinorhizobium medicae	110321	S	717	241	958	0.00023
Sinorhizobium sp. CCBAU 05631	794846	S	88	255	343	0.00008
Ensifer adhaerens	106592	S	2156	967	3123	0.00075
Ensifer sojae	716925	S	1164	794	1958	0.00047
Shinella sp. HZN7	879274	S	1736	2631	4367	0.00105
Liberibacter crescens	1273132	S	24	10	34	0.00001
Candidatus Liberibacter americanus	309868	S	14	7	21	0.00001
Candidatus Liberibacter africanus	34020	S	12	9	21	0.00001
Candidatus Liberibacter solanacearum	556287	S	12	6	18	0.00000
Bradyrhizobium erythrophlei	1437360	S	2105	267	2372	0.00057
Bradyrhizobium oligotrophicum	44255	S	1106	293	1399	0.00034
Bradyrhizobium sp. SK17	2057741	S	1048	474	1522	0.00037
Bradyrhizobium sp. BTAi1	288000	S	919	245	1164	0.00028
Bradyrhizobium icense	1274631	S	916	231	1147	0.00028
Bradyrhizobium sp. ORS 278	114615	S	914	292	1206	0.00029
Bradyrhizobium diazoefficiens	1355477	S	754	561	1315	0.00032
Bradyrhizobium japonicum	375	S	736	986	1722	0.00041
Bradyrhizobium sp. CCGE-LA001	1223566	S	649	164	813	0.00020
Bradyrhizobium lablabi	722472	S	645	1982	2627	0.00063
Bradyrhizobium sp. ORS 285	115808	S	622	206	828	0.00020
Bradyrhizobium sp. S23321	335659	S	448	135	583	0.00014
Bradyrhizobium ottawaense	931866	S	365	1361	1726	0.00042
Bradyrhizobium sp. G22	1839752	S	337	540	877	0.00021
Bradyrhizobium sp. 3 85S1MB	1404367	S	308	145	453	0.00011
Bradyrhizobium sp. 2 39S1MB	1404768	S	300	143	443	0.00011
Bradyrhizobium sp.	376	S	185	449	634	0.00015
Bradyrhizobium sp. WSM471	319017	S	141	312	453	0.00011
Rhodopseudomonas palustris	1076	S	6063	2366	8429	0.00203
Bosea sp. RAC05	1842539	S	1534	770	2304	0.00056
Bosea sp. AS-1	2015316	S	1294	469	1763	0.00042
Bosea vaviloviae	1526658	S	1112	388	1500	0.00036
Bosea sp. PAMC 26642	1792307	S	930	271	1201	0.00029
Nitrobacter hamburgensis	912	S	812	179	991	0.00024
Nitrobacter winogradskyi	913	S	514	97	611	0.00015
Variibacter gotjawalensis	1333996	S	815	89	904	0.00022
Afipia sp. GAS231	1882747	S	628	702	1330	0.00032
Oligotropha carboxidovorans	40137	S	583	255	838	0.00020
Bradyrhizobiaceae bacterium SG-6C	709797	S	512	148	660	0.00016
Mesorhizobium oceanicum	1670800	S	2413	875	3288	0.00079
Mesorhizobium ciceri	39645	S	1394	1642	3036	0.00073
Mesorhizobium loti	381	S	1293	1641	2934	0.00071
Mesorhizobium amorphae	71433	S	1244	536	1780	0.00043
Mesorhizobium sp. DCY119	2108445	S	1084	549	1633	0.00039
Mesorhizobium opportunistum	593909	S	893	619	1512	0.00036
Mesorhizobium australicum	536018	S	882	605	1487	0.00036
Mesorhizobium japonicum	2066070	S	533	423	956	0.00023
Mesorhizobium huakuii	28104	S	180	1023	1203	0.00029
Mesorhizobium sp. WSM1497	278153	S	96	629	725	0.00017
Nitratireductor sp. OM-1	1756988	S	1976	515	2491	0.00060
Nitratireductor basaltis	472175	S	1426	132	1558	0.00038
Hoeflea phototrophica	244596	S	1663	418	2081	0.00050
Hoeflea sp. IMCC20628	1620421	S	1620	342	1962	0.00047
Aminobacter sp. MSH1	374606	S	1663	2744	4407	0.00106
Aminobacter aminovorans	83263	S	1302	752	2054	0.00049
Chelativorans sp. BNC1	266779	S	996	243	1239	0.00030
Phyllobacterium zundukense	1867719	S	650	163	813	0.00020
Methylobacterium sp. 4-46	426117	S	2153	615	2768	0.00067
Methylobacterium nodulans	114616	S	1021	223	1244	0.00030
Methylobacterium sp. 17Sr1-28	2202827	S	978	508	1486	0.00036
Methylobacterium sp. 17Sr1-43	2202828	S	929	372	1301	0.00031
Methylobacterium aquaticum	270351	S	838	402	1240	0.00030
Methylobacterium sp. 17SD2-17	2202825	S	738	188	926	0.00022
Methylobacterium currus	2051553	S	588	389	977	0.00024
Methylobacterium sp. DM1	2067957	S	535	669	1204	0.00029
Methylobacterium sp. 17Sr1-1	2202826	S	516	270	786	0.00019
Methylobacterium sp. AMS5	925818	S	306	463	769	0.00019
Methylobacterium phyllosphaerae	418223	S	213	881	1094	0.00026
Methylobacterium radiotolerans	31998	S	125	648	773	0.00019
Methylobacterium sp. C1	1479019	S	89	549	638	0.00015
Methylobacterium sp. XJLM	1826873	S	79	1391	1470	0.00035
Methylobacterium oryzae	334852	S	28	644	672	0.00016
Microvirga ossetica	1882682	S	1613	345	1958	0.00047
Microvirga sp. 17 mud 1-3	2082949	S	787	275	1062	0.00026
Methylorubrum populi	223967	S	1119	924	2043	0.00049
Methylorubrum extorquens	408	S	772	1686	2458	0.00059
Methylorubrum zatmanii	29429	S	21	213	234	0.00006
Devosia sp. A16	1736675	S	1755	338	2093	0.00050
Devosia sp. H5989	1643450	S	1062	224	1286	0.00031
Devosia sp. I507	2083786	S	832	124	956	0.00023
Hyphomicrobium denitrificans	53399	S	1335	470	1805	0.00043
Hyphomicrobium nitrativorans	1427356	S	778	82	860	0.00021
Hyphomicrobium sp. MC1	717785	S	547	52	599	0.00014
Blastochloris viridis	1079	S	1362	698	2060	0.00050
Pelagibacterium halotolerans	531813	S	1155	189	1344	0.00032
Rhodoplanes sp. Z2-YC6860	674703	S	1114	200	1314	0.00032
Rhodomicrobium vannielii	1069	S	915	81	996	0.00024
Candidatus Filomicrobium marinum	1608628	S	494	25	519	0.00013
Maritalea myrionectae	454601	S	436	21	457	0.00011
Martelella mediterranea	293089	S	2021	1098	3119	0.00075
Martelella sp. AD-3	686597	S	1349	1002	2351	0.00057
Martelella endophytica	1486262	S	965	397	1362	0.00033
Aureimonas sp. AU20	1349819	S	1168	264	1432	0.00035
Methyloceanibacter caenitepidi	1384459	S	1703	365	2068	0.00050
Methyloceanibacter sp. wino2	2170729	S	1263	294	1557	0.00038
Hartmannibacter diazotrophicus	1482074	S	1671	537	2208	0.00053
Pseudorhodoplanes sinuspersici	1235591	S	898	147	1045	0.00025
Pseudolabrys taiwanensis	331696	S	1417	458	1875	0.00045
Starkeya novella	921	S	1251	689	1940	0.00047
Xanthobacter autotrophicus	280	S	1232	995	2227	0.00054
Azorhizobium caulinodans	7	S	1123	363	1486	0.00036
Breoghania sp. L-A4	2304600	S	2384	567	2951	0.00071
Cohaesibacter sp. ES.047	1798205	S	1040	118	1158	0.00028
Anderseniella sp. Alg231-50	1922226	S	1116	116	1232	0.00030
Parvibaculum lavamentivorans	256618	S	965	1943	2908	0.00070
Candidatus Phaeomarinobacter ectocarpi	1458461	S	741	45	786	0.00019
Rhodobiaceae bacterium	2026785	S	298	17	315	0.00008
Ochrobactrum anthropi	529	S	658	1864	2522	0.00061
Ochrobactrum sp. A44	271865	S	394	99	493	0.00012
Ochrobactrum pituitosum	571256	S	120	197	317	0.00008
Ochrobactrum pseudogrignonense	419475	S	116	190	306	0.00007
Brucella vulpis	981386	S	157	136	293	0.00007
Brucella sp. 141012304	1885919	S	109	135	244	0.00006
Brucella sp. 09RB8910	1844051	S	49	51	100	0.00002
Brucella sp. 09RB8471	1149952	S	44	58	102	0.00002
Brucella melitensis	29459	S	24	450	474	0.00011
Brucella abortus	235	S	18	693	711	0.00017
Chelatococcus daeguensis	444444	S	1092	920	2012	0.00048
Chelatococcus sp. CO-6	1702325	S	974	950	1924	0.00046
Methylocystis sp. SC2	187303	S	665	112	777	0.00019
Methylocystis bryophila	655015	S	573	148	721	0.00017
Methylosinus trichosporium	426	S	783	226	1009	0.00024
Methylocella silvestris	199596	S	614	118	732	0.00018
Beijerinckia indica	533	S	418	61	479	0.00012
Bartonella apis	1686310	S	186	36	222	0.00005
Bartonella bacilliformis	774	S	72	43	115	0.00003
Bartonella vinsonii	33047	S	54	44	98	0.00002
Bartonella ancashensis	1318743	S	53	30	83	0.00002
Bartonella grahamii	33045	S	27	39	66	0.00002
Bartonella bovis	155194	S	22	23	45	0.00001
Bartonella henselae	38323	S	19	15	34	0.00001
Bartonella quintana	803	S	18	10	28	0.00001
Bartonella birtlesii	111504	S	18	16	34	0.00001
Bartonella australis	388640	S	16	6	22	0.00001
Sphingomonas wittichii	160791	S	1309	1059	2368	0.00057
Sphingomonas hengshuiensis	1609977	S	1234	107	1341	0.00032
Sphingomonas sanxanigenens	397260	S	1215	688	1903	0.00046
Sphingomonas sp. FARSPH	2219696	S	1214	1611	2825	0.00068
Sphingomonas sp. MM-1	745310	S	1163	2924	4087	0.00098
Sphingomonas taxi	1549858	S	1085	222	1307	0.00031
Sphingomonas sp. KC8	1030157	S	1005	81	1086	0.00026
Sphingomonas sp. Cra20	1327635	S	920	80	1000	0.00024
Sphingomonas koreensis	93064	S	899	749	1648	0.00040
Sphingomonas panacis	1560345	S	864	95	959	0.00023
Sphingomonas indica	941907	S	760	71	831	0.00020
Sphingomonas sp. LK11	1390395	S	626	224	850	0.00020
Sphingomonas sp. LM7	1938607	S	597	88	685	0.00017
Sphingomonas sp. JJ-A5	1921510	S	586	1075	1661	0.00040
Sphingomonas melonis	152682	S	407	854	1261	0.00030
Sphingomonas sp. NIC1	1961362	S	268	684	952	0.00023
Sphingobium yanoikuyae	13690	S	1728	865	2593	0.00062
Sphingobium sp. SYK-6	627192	S	1510	655	2165	0.00052
Sphingobium sp. YG1	2082188	S	1007	536	1543	0.00037
Sphingobium chlorophenolicum	46429	S	873	505	1378	0.00033
Sphingobium sp. RAC03	1843368	S	815	156	971	0.00023
Sphingobium hydrophobicum	1673076	S	757	692	1449	0.00035
Sphingobium cloacae	120107	S	747	1280	2027	0.00049
Sphingobium sp. TKS	1315974	S	724	2378	3102	0.00075
Sphingobium baderi	1332080	S	684	1857	2541	0.00061
Sphingobium sp. SCG-1	2072936	S	672	35	707	0.00017
Sphingobium sp. YBL2	484429	S	634	907	1541	0.00037
Sphingobium sp. EP60837	1855519	S	604	315	919	0.00022
Sphingobium sp. MI1205	407020	S	475	1581	2056	0.00050
Sphingobium herbicidovorans	76947	S	363	701	1064	0.00026
Sphingobium japonicum	332056	S	189	846	1035	0.00025
Sphingobium indicum	332055	S	140	914	1054	0.00025
Sphingopyxis macrogoltabida	33050	S	1316	894	2210	0.00053
Sphingopyxis sp. 113P3	292913	S	1055	578	1633	0.00039
Sphingopyxis sp. QXT-31	1357916	S	1019	147	1166	0.00028
Sphingopyxis sp. EG6	1874061	S	763	729	1492	0.00036
Sphingopyxis terrae	33052	S	745	332	1077	0.00026
Sphingopyxis sp. FD7	1914525	S	702	252	954	0.00023
Sphingopyxis sp. WS5A3p	2054227	S	571	558	1129	0.00027
Sphingopyxis granuli	267128	S	474	2425	2899	0.00070
Sphingopyxis alaskensis	117207	S	440	92	532	0.00013
Sphingopyxis fribergensis	1515612	S	388	143	531	0.00013
Sphingopyxis sp. LPB0140	1913578	S	139	5	144	0.00003
Sphingopyxis sp. MG	1866325	S	46	402	448	0.00011
Novosphingobium aromaticivorans	48935	S	1685	324	2009	0.00048
Novosphingobium resinovorum	158500	S	1439	917	2356	0.00057
Novosphingobium sp. THN1	1016987	S	1404	199	1603	0.00039
Novosphingobium sp. P6W	1609758	S	1340	141	1481	0.00036
Novosphingobium pentaromativorans	205844	S	1174	2313	3487	0.00084
Novosphingobium sp. PP1Y	702113	S	860	826	1686	0.00041
Citromicrobium sp. JL477	1634516	S	3044	726	3770	0.00091
Sphingorhabdus sp. YGSMI21	2077182	S	614	138	752	0.00018
Sphingorhabdus sp. M41	1806885	S	595	78	673	0.00016
Sphingorhabdus flavimaris	266812	S	503	111	614	0.00015
Sphingorhabdus sp. Alg231-15	1922222	S	318	28	346	0.00008
Blastomonas sp. RAC04	1842535	S	268	495	763	0.00018
Blastomonas fulva	1550728	S	177	355	532	0.00013
Rhizorhabdus dicambivorans	1850238	S	880	805	1685	0.00041
Zymomonas mobilis	542	S	239	174	413	0.00010
Erythrobacter litoralis	39960	S	6971	4238	11209	0.00270
Erythrobacter atlanticus	1648404	S	3382	1456	4838	0.00117
Erythrobacter seohaensis	266951	S	3010	425	3435	0.00083
Erythrobacter gangjinensis	502682	S	2297	136	2433	0.00059
Erythrobacter sp. HL-111	1798193	S	2020	309	2329	0.00056
Erythrobacter flavus	192812	S	1962	1641	3603	0.00087
Erythrobacter sp. YH-07	2182384	S	1392	166	1558	0.00038
Erythrobacter sp. KY5	2011159	S	1127	61	1188	0.00029
Erythrobacter sp. Alg231-14	1922225	S	359	29	388	0.00009
Altererythrobacter atlanticus	1267766	S	4836	2942	7778	0.00187
Altererythrobacter namhicola	645517	S	3769	476	4245	0.00102
Altererythrobacter sp. B11	2060312	S	3469	1622	5091	0.00123
Altererythrobacter epoxidivorans	361183	S	1913	375	2288	0.00055
Altererythrobacter marensis	543877	S	1832	219	2051	0.00049
Altererythrobacter dongtanensis	692370	S	1764	269	2033	0.00049
Altererythrobacter mangrovi	1982042	S	1285	221	1506	0.00036
Altererythrobacter sp. ZODW24	2185142	S	861	34	895	0.00022
Altererythrobacter ishigakiensis	476157	S	849	41	890	0.00021
Porphyrobacter neustonensis	1112	S	1627	304	1931	0.00047
Porphyrobacter HT-58-2	2023229	S	1587	420	2007	0.00048
Porphyrobacter sp. CACIAM 03H1	2003315	S	1127	341	1468	0.00035
Porphyrobacter sp. LM 6	1896196	S	975	283	1258	0.00030
Croceicoccus naphthovorans	1348774	S	1992	4274	6266	0.00151
Croceicoccus marinus	450378	S	1931	1084	3015	0.00073
Azospirillum thiophilum	528244	S	2822	1178	4000	0.00096
Azospirillum brasilense	192	S	1725	1589	3314	0.00080
Azospirillum lipoferum	193	S	1404	924	2328	0.00056
Azospirillum humicireducens	1226968	S	805	737	1542	0.00037
Azospirillum sp. TSH58	664962	S	604	1037	1641	0.00040
Azospirillum sp. M2T2B2	682998	S	520	430	950	0.00023
Magnetospirillum gryphiswaldense	55518	S	1217	177	1394	0.00034
Magnetospirillum magneticum	84159	S	695	410	1105	0.00027
Magnetospirillum sp. ME-1	1639348	S	633	675	1308	0.00032
Magnetospirillum sp. XM-1	1663591	S	602	541	1143	0.00028
Rhodospirillum centenum	34018	S	1772	701	2473	0.00060
Rhodospirillum rubrum	1085	S	988	10	998	0.00024
Tistrella mobilis	171437	S	2359	4722	7081	0.00171
Rhodospirillaceae bacterium SCSIO 08040	2220096	S	2118	496	2614	0.00063
Nitrospirillum amazonense	28077	S	1654	310	1964	0.00047
Thalassospira xiamenensis	220697	S	554	99	653	0.00016
Thalassospira marina	2048283	S	397	76	473	0.00011
Niveispirillum cyanobacteriorum	1612173	S	857	205	1062	0.00026
Magnetospira sp. QH-2	1288970	S	661	23	684	0.00016
Pararhodospirillum photometricum	1084	S	528	105	633	0.00015
Haematospirillum jordaniae	1549855	S	117	14	131	0.00003
Candidatus Endolissoclinum faulkneri	1263979	S	80	0	80	0.00002
Komagataeibacter medellinensis	1177712	S	465	491	956	0.00023
Komagataeibacter nataicola	265960	S	272	118	390	0.00009
Komagataeibacter saccharivorans	265959	S	215	165	380	0.00009
Komagataeibacter hansenii	436	S	170	24	194	0.00005
Komagataeibacter xylinus	28448	S	169	374	543	0.00013
Komagataeibacter europaeus	33995	S	159	110	269	0.00006
Roseomonas sp. FDAARGOS_362	2018065	S	681	662	1343	0.00032
Roseomonas gilardii	257708	S	608	323	931	0.00022
Acidiphilium cryptum	524	S	156	608	764	0.00018
Acidiphilium multivorum	62140	S	123	442	565	0.00014
Acetobacter aceti	435	S	227	23	250	0.00006
Acetobacter persici	1076596	S	197	21	218	0.00005
Acetobacter ghanensis	431306	S	165	43	208	0.00005
Acetobacter pasteurianus	438	S	89	332	421	0.00010
Acetobacter tropicalis	104102	S	42	44	86	0.00002
Acetobacter ascendens	481146	S	40	40	80	0.00002
Acetobacter senegalensis	446692	S	23	23	46	0.00001
Gluconacetobacter diazotrophicus	33996	S	1009	185	1194	0.00029
Gluconobacter oxydans	442	S	566	223	789	0.00019
Gluconobacter albidus	318683	S	175	61	236	0.00006
Granulibacter bethesdensis	364410	S	768	78	846	0.00020
Acidisphaera sp. G45-3	1969806	S	759	95	854	0.00021
Asaia bogorensis	91915	S	339	49	388	0.00009
Neoasaia chiangmaiensis	320497	S	256	48	304	0.00007
Kozakia baliensis	153496	S	249	84	333	0.00008
Parasaccharibacter apium	1510841	S	156	13	169	0.00004
Caulobacter sp. K31	366602	S	1562	293	1855	0.00045
Caulobacter mirabilis	69666	S	1381	381	1762	0.00042
Caulobacter vibrioides	155892	S	1369	467	1836	0.00044
Caulobacter segnis	88688	S	1204	419	1623	0.00039
Caulobacter henricii	69395	S	1069	247	1316	0.00032
Brevundimonas subvibrioides	74313	S	964	226	1190	0.00029
Brevundimonas sp. LM2	1938605	S	795	160	955	0.00023
Brevundimonas diminuta	293	S	656	615	1271	0.00031
Brevundimonas naejangsanensis	588932	S	653	244	897	0.00022
Brevundimonas vesicularis	41276	S	635	709	1344	0.00032
Brevundimonas sp. DS20	1532555	S	528	401	929	0.00022
Brevundimonas sp. GW460-12-10-14-LB2	1827469	S	287	416	703	0.00017
Phenylobacterium zucineum	284016	S	1755	640	2395	0.00058
Phenylobacterium sp. HYN0004	2201350	S	803	142	945	0.00023
Asticcacaulis excentricus	78587	S	794	76	870	0.00021
Caulobacteraceae bacterium OTSz_A_272	1759059	S	424	9	433	0.00010
Polymorphum gilvum	991904	S	3256	1385	4641	0.00112
Phreatobacter cathodiphilus	1868589	S	1642	491	2133	0.00051
Micavibrio aeruginosavorus	349221	S	603	20	623	0.00015
Candidatus Puniceispirillum marinum	767892	S	160	10	170	0.00004
Wolbachia endosymbiont of Brugia malayi	80849	S	35	151	186	0.00004
Wolbachia endosymbiont of Cimex lectularius	246273	S	11	54	65	0.00002
Ehrlichia ruminantium	779	S	75	7	82	0.00002
Ehrlichia chaffeensis	945	S	48	-48	0	0.00000
Ehrlichia canis	944	S	32	36	68	0.00002
Ehrlichia sp. HF	391036	S	12	12	24	0.00001
Anaplasma phagocytophilum	948	S	14	-14	0	0.00000
Neorickettsia sennetsu	951	S	13	7	20	0.00000
Rickettsia slovaca	35794	S	46	-46	0	0.00000
Rickettsia monacensis	109232	S	45	87	132	0.00003
Rickettsia montanensis	33991	S	15	47	62	0.00001
Rickettsia canadensis	788	S	50	-50	0	0.00000
Orientia tsutsugamushi	784	S	18	2	20	0.00000
Candidatus Phycorickettsia trachydisci	2115978	S	18	1	19	0.00000
Candidatus Midichloria mitochondrii	234827	S	133	39	172	0.00004
Candidatus Fokinia solitaria	1802984	S	28	0	28	0.00001
Rickettsiales bacterium Ac37b	1528098	S	126	112	238	0.00006
Parvularcula bermudensis	208216	S	838	29	867	0.00021
Candidatus Pelagibacter sp. IMCC9063	1002672	S	200	32	232	0.00006
Candidatus Pelagibacter ubique	198252	S	86	31	117	0.00003
Candidatus Pelagibacter sp. HIMB1321	1388755	S	78	48	126	0.00003
Candidatus Pelagibacter sp. RS40	1977865	S	11	3	14	0.00000
alpha proteobacterium HIMB59	744985	S	57	2	59	0.00001
alpha proteobacterium HIMB5	859653	S	22	18	40	0.00001
Candidatus Fonsibacter ubiquis	1925548	S	43	15	58	0.00001
Magnetococcus marinus	1124597	S	578	14	592	0.00014
Candidatus Nucleicultrix amoebiphila	1509244	S	135	7	142	0.00003
endosymbiont of Acanthamoeba sp. UWC8	86106	S	44	1	45	0.00001
Candidatus Paracaedibacter acanthamoebae	91604	S	30	0	30	0.00001
Lysobacter maris	1605891	S	22984	11538	34522	0.00832
Lysobacter enzymogenes	69	S	6480	5521	12001	0.00289
Lysobacter capsici	435897	S	4928	3368	8296	0.00200
Lysobacter antibioticus	84531	S	4322	2587	6909	0.00167
Lysobacter sp. TY2-98	2290922	S	4058	1394	5452	0.00131
Lysobacter gummosus	262324	S	3271	2474	5745	0.00138
Stenotrophomonas maltophilia	40324	S	6239	14436	20675	0.00498
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	841	704	1545	0.00037
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	2072405	S	600	1299	1899	0.00046
Stenotrophomonas sp. SAU14A_NAIMI4_5	2072413	S	548	735	1283	0.00031
Stenotrophomonas sp. ZAC14D2_NAIMI4_6	2072406	S	179	746	925	0.00022
