Sample	Reads	TaxID	Rank	Taxon
SRR24442555	54809	2009329	S	Sagittula sp. P11
SRR24442555	43645	1609966	S	Confluentimicrobium sp. EMB200-NS6
SRR24442555	24059	42444	S	Marinovum algicola
SRR24442555	2807	74033	S	Antarctobacter heliothermus
SRR24442555	26911	1904441	S	Rhodobacteraceae bacterium
SRR24442555	1022	2033435	S	Rhodobacteraceae bacterium QY30
SRR24442555	438	2171755	S	Rhodobacteraceae bacterium BAR1
SRR24442555	35691	1229727	S	Salipiger profundus
SRR24442555	4260	2109625	S	Thalassococcus sp. SH-1
SRR24442555	30973	215813	S	Dinoroseobacter shibae
SRR24442555	2634	53946	S	Octadecabacter arcticus
SRR24442555	967	1217908	S	Octadecabacter antarcticus
SRR24442555	186	1458307	S	Octadecabacter temperatus
SRR24442555	25231	1250539	S	Pelagibaca abyssi
SRR24442555	5508	2434	S	Roseobacter denitrificans
SRR24442555	1322	42443	S	Roseobacter litoralis
SRR24442555	17415	1267768	S	Brevirhabdus pacifica
SRR24442555	18053	1335048	S	Defluviimonas alba
SRR24442555	9236	379347	S	Epibacterium mobile
SRR24442555	11120	391613	S	Roseovarius sp. TM1035
SRR24442555	10842	215743	S	Roseovarius mucosus
SRR24442555	6748	1915078	S	Thioclava nitratireducens
SRR24442555	15729	1920883	S	Marivivens sp. JLT3646
SRR24442555	840	299262	S	Tateyamaria omphalii
SRR24442555	3483	133924	S	Leisingera methylohalidivorans
SRR24442555	2431	159346	S	Roseibacterium elongatum
SRR24442555	7250	2169400	S	Gemmobacter sp. HYN0069
SRR24442555	279	290400	S	Jannaschia sp. CCS1
SRR24442555	610	441209	S	Rhodobaca barguzinensis
SRR24442555	1190	92945	S	Ketogulonicigenium vulgare
SRR24442555	711	92947	S	Ketogulonicigenium robustum
SRR24442555	354	2021862	S	Labrenzia sp. VG12
SRR24442555	1772	1674922	S	Labrenzia sp. CP4
SRR24442555	1184	187304	S	Labrenzia aggregata
SRR24442555	8430	121719	S	Pannonibacter phragmitetus
SRR24442555	232	1579316	S	Halocynthiibacter arcticus
SRR24442555	295	1881061	S	Stappia sp. ES.058
SRR24442555	160	911045	S	Pseudovibrio sp. FO-BEG1
SRR24442555	24	1906738	S	Hyphomonas sp. Mor2
SRR24442555	154	81032	S	Hyphomonas neptunium
SRR24442555	191	1873716	S	Hyphomonas sp. CACIAM 19H1
SRR24442555	71	74318	S	Maricaulis maris
SRR24442555	3	2724	S	Hirschia baltica
SRR24442555	1225	1125847	S	Rhizobium sp. NT-26
SRR24442555	1013	384	S	Rhizobium leguminosarum
SRR24442555	421	1571470	S	Rhizobium sp. ACO-34A
SRR24442555	1967	396	S	Rhizobium phaseoli
SRR24442555	127	2048897	S	Rhizobium sp. NXC24
SRR24442555	1338	29449	S	Rhizobium etli
SRR24442555	153	56730	S	Rhizobium gallicum
SRR24442555	118	2028343	S	Rhizobium sp. 11515TR
SRR24442555	131	398	S	Rhizobium tropici
SRR24442555	285	348824	S	Rhizobium favelukesii
SRR24442555	219	2020312	S	Rhizobium sp. CIAT894
SRR24442555	150	1981173	S	Rhizobium sp. NXC14
SRR24442555	3208	1869170	S	Rhizobium sp. S41
SRR24442555	967	2020313	S	Rhizobium sp. TAL182
SRR24442555	280	2020311	S	Rhizobium sp. Kim5
SRR24442555	260	1301032	S	Rhizobium sp. IE4771
SRR24442555	436	424182	S	Rhizobium sp. IRBG74
SRR24442555	230	1914541	S	Rhizobium sp. Y9
SRR24442555	200	1703969	S	Rhizobium sp. N324
SRR24442555	2272	358	S	Agrobacterium tumefaciens
SRR24442555	314	1176649	S	Agrobacterium fabrum
SRR24442555	422	1842536	S	Agrobacterium sp. RAC06
SRR24442555	191	373	S	Agrobacterium vitis
SRR24442555	133	359	S	Agrobacterium rhizogenes
SRR24442555	563	861208	S	Agrobacterium sp. H13-3
SRR24442555	455	399	S	Neorhizobium galegae
SRR24442555	359	2060726	S	Neorhizobium sp. SOG26
SRR24442555	350	1825976	S	Neorhizobium sp. NCHU2750
SRR24442555	2704	380	S	Sinorhizobium fredii
SRR24442555	598	1842534	S	Sinorhizobium sp. RAC02
SRR24442555	508	382	S	Sinorhizobium meliloti
SRR24442555	348	194963	S	Sinorhizobium americanum
SRR24442555	167	110321	S	Sinorhizobium medicae
SRR24442555	50	794846	S	Sinorhizobium sp. CCBAU 05631
SRR24442555	743	106592	S	Ensifer adhaerens
SRR24442555	799	716925	S	Ensifer sojae
SRR24442555	2044	879274	S	Shinella sp. HZN7
SRR24442555	11	34021	S	Candidatus Liberibacter asiaticus
SRR24442555	8	34020	S	Candidatus Liberibacter africanus
SRR24442555	845	1670800	S	Mesorhizobium oceanicum
SRR24442555	1602	381	S	Mesorhizobium loti
SRR24442555	492	71433	S	Mesorhizobium amorphae
SRR24442555	2236	39645	S	Mesorhizobium ciceri
SRR24442555	318	2108445	S	Mesorhizobium sp. DCY119
SRR24442555	437	593909	S	Mesorhizobium opportunistum
SRR24442555	463	2066070	S	Mesorhizobium japonicum
SRR24442555	402	536018	S	Mesorhizobium australicum
SRR24442555	952	278153	S	Mesorhizobium sp. WSM1497
SRR24442555	406	28104	S	Mesorhizobium huakuii
SRR24442555	649	244596	S	Hoeflea phototrophica
SRR24442555	501	1620421	S	Hoeflea sp. IMCC20628
SRR24442555	499	1756988	S	Nitratireductor sp. OM-1
SRR24442555	119	472175	S	Nitratireductor basaltis
SRR24442555	1791	374606	S	Aminobacter sp. MSH1
SRR24442555	461	83263	S	Aminobacter aminovorans
SRR24442555	171	1867719	S	Phyllobacterium zundukense
SRR24442555	127	266779	S	Chelativorans sp. BNC1
SRR24442555	155	1437360	S	Bradyrhizobium erythrophlei
SRR24442555	239	115808	S	Bradyrhizobium sp. ORS 285
SRR24442555	1843	931866	S	Bradyrhizobium ottawaense
SRR24442555	1445	722472	S	Bradyrhizobium lablabi
SRR24442555	134	288000	S	Bradyrhizobium sp. BTAi1
SRR24442555	132	114615	S	Bradyrhizobium sp. ORS 278
SRR24442555	230	1355477	S	Bradyrhizobium diazoefficiens
SRR24442555	97	1274631	S	Bradyrhizobium icense
SRR24442555	88	1223566	S	Bradyrhizobium sp. CCGE-LA001
SRR24442555	99	335659	S	Bradyrhizobium sp. S23321
SRR24442555	184	2057741	S	Bradyrhizobium sp. SK17
SRR24442555	87	44255	S	Bradyrhizobium oligotrophicum
SRR24442555	228	375	S	Bradyrhizobium japonicum
SRR24442555	252	1839752	S	Bradyrhizobium sp. G22
SRR24442555	92	1404768	S	Bradyrhizobium sp. 2 39S1MB
SRR24442555	76	1404367	S	Bradyrhizobium sp. 3 85S1MB
SRR24442555	194	319017	S	Bradyrhizobium sp. WSM471
SRR24442555	98	376	S	Bradyrhizobium sp.
SRR24442555	1652	1076	S	Rhodopseudomonas palustris
SRR24442555	273	2015316	S	Bosea sp. AS-1
SRR24442555	242	1526658	S	Bosea vaviloviae
SRR24442555	288	1842539	S	Bosea sp. RAC05
SRR24442555	134	1792307	S	Bosea sp. PAMC 26642
SRR24442555	188	912	S	Nitrobacter hamburgensis
SRR24442555	192	913	S	Nitrobacter winogradskyi
SRR24442555	42	40137	S	Oligotropha carboxidovorans
SRR24442555	48	1333996	S	Variibacter gotjawalensis
SRR24442555	92	709797	S	Bradyrhizobiaceae bacterium SG-6C
SRR24442555	248	1882747	S	Afipia sp. GAS231
SRR24442555	326	454601	S	Maritalea myrionectae
SRR24442555	125	2083786	S	Devosia sp. I507
SRR24442555	121	1643450	S	Devosia sp. H5989
SRR24442555	83	1736675	S	Devosia sp. A16
SRR24442555	40	717785	S	Hyphomicrobium sp. MC1
SRR24442555	173	53399	S	Hyphomicrobium denitrificans
SRR24442555	25	1427356	S	Hyphomicrobium nitrativorans
SRR24442555	75	1069	S	Rhodomicrobium vannielii
SRR24442555	139	531813	S	Pelagibacterium halotolerans
SRR24442555	361	1079	S	Blastochloris viridis
SRR24442555	100	674703	S	Rhodoplanes sp. Z2-YC6860
SRR24442555	14	1608628	S	Candidatus Filomicrobium marinum
SRR24442555	3363	293089	S	Martelella mediterranea
SRR24442555	1054	686597	S	Martelella sp. AD-3
SRR24442555	466	1486262	S	Martelella endophytica
SRR24442555	243	1349819	S	Aureimonas sp. AU20
SRR24442555	202	426117	S	Methylobacterium sp. 4-46
SRR24442555	135	114616	S	Methylobacterium nodulans
SRR24442555	216	2202828	S	Methylobacterium sp. 17Sr1-43
SRR24442555	226	270351	S	Methylobacterium aquaticum
SRR24442555	99	2202825	S	Methylobacterium sp. 17SD2-17
SRR24442555	296	2051553	S	Methylobacterium currus
SRR24442555	234	2202826	S	Methylobacterium sp. 17Sr1-1
SRR24442555	186	2202827	S	Methylobacterium sp. 17Sr1-28
SRR24442555	241	925818	S	Methylobacterium sp. AMS5
SRR24442555	1266	1479019	S	Methylobacterium sp. C1
SRR24442555	150	2067957	S	Methylobacterium sp. DM1
SRR24442555	428	31998	S	Methylobacterium radiotolerans
SRR24442555	324	418223	S	Methylobacterium phyllosphaerae
SRR24442555	344	1826873	S	Methylobacterium sp. XJLM
SRR24442555	805	223967	S	Methylorubrum populi
SRR24442555	1209	408	S	Methylorubrum extorquens
SRR24442555	216	29429	S	Methylorubrum zatmanii
SRR24442555	118	1882682	S	Microvirga ossetica
SRR24442555	192	2082949	S	Microvirga sp. 17 mud 1-3
SRR24442555	527	1482074	S	Hartmannibacter diazotrophicus
SRR24442555	247	2170729	S	Methyloceanibacter sp. wino2
SRR24442555	132	1384459	S	Methyloceanibacter caenitepidi
SRR24442555	170	1235591	S	Pseudorhodoplanes sinuspersici
SRR24442555	2603	529	S	Ochrobactrum anthropi
SRR24442555	159	271865	S	Ochrobactrum sp. A44
SRR24442555	287	571256	S	Ochrobactrum pituitosum
SRR24442555	151	419475	S	Ochrobactrum pseudogrignonense
SRR24442555	644	981386	S	Brucella vulpis
SRR24442555	358	1844051	S	Brucella sp. 09RB8910
SRR24442555	320	1885919	S	Brucella sp. 141012304
SRR24442555	186	1149952	S	Brucella sp. 09RB8471
SRR24442555	386	2304600	S	Breoghania sp. L-A4
SRR24442555	112	1798205	S	Cohaesibacter sp. ES.047
SRR24442555	1261	444444	S	Chelatococcus daeguensis
SRR24442555	704	1702325	S	Chelatococcus sp. CO-6
SRR24442555	556	921	S	Starkeya novella
SRR24442555	297	7	S	Azorhizobium caulinodans
SRR24442555	812	280	S	Xanthobacter autotrophicus
SRR24442555	111	331696	S	Pseudolabrys taiwanensis
SRR24442555	76	1922226	S	Anderseniella sp. Alg231-50
SRR24442555	1523	256618	S	Parvibaculum lavamentivorans
SRR24442555	16	2026785	S	Rhodobiaceae bacterium
SRR24442555	26	1458461	S	Candidatus Phaeomarinobacter ectocarpi
SRR24442555	66	187303	S	Methylocystis sp. SC2
SRR24442555	45	655015	S	Methylocystis bryophila
SRR24442555	99	426	S	Methylosinus trichosporium
SRR24442555	60	199596	S	Methylocella silvestris
SRR24442555	40	533	S	Beijerinckia indica
SRR24442555	36	1686310	S	Bartonella apis
SRR24442555	113	165694	S	Bartonella schoenbuchensis
SRR24442555	25	155194	S	Bartonella bovis
SRR24442555	35	545612	S	Bartonella sp. OE 1-1
SRR24442555	9	33047	S	Bartonella vinsonii
SRR24442555	9	111504	S	Bartonella birtlesii
SRR24442555	14	56426	S	Bartonella clarridgeiae
SRR24442555	3	1318743	S	Bartonella ancashensis
SRR24442555	370	2082188	S	Sphingobium sp. YG1
SRR24442555	32	2072936	S	Sphingobium sp. SCG-1
SRR24442555	657	484429	S	Sphingobium sp. YBL2
SRR24442555	236	13690	S	Sphingobium yanoikuyae
SRR24442555	194	627192	S	Sphingobium sp. SYK-6
SRR24442555	1174	1315974	S	Sphingobium sp. TKS
SRR24442555	67	1843368	S	Sphingobium sp. RAC03
SRR24442555	723	76947	S	Sphingobium herbicidovorans
SRR24442555	494	120107	S	Sphingobium cloacae
SRR24442555	1210	332055	S	Sphingobium indicum
SRR24442555	186	1673076	S	Sphingobium hydrophobicum
SRR24442555	109	46429	S	Sphingobium chlorophenolicum
SRR24442555	478	1332080	S	Sphingobium baderi
SRR24442555	75	1855519	S	Sphingobium sp. EP60837
SRR24442555	406	407020	S	Sphingobium sp. MI1205
SRR24442555	183	332056	S	Sphingobium japonicum
SRR24442555	763	160791	S	Sphingomonas wittichii
SRR24442555	203	1390395	S	Sphingomonas sp. LK11
SRR24442555	38	1327635	S	Sphingomonas sp. Cra20
SRR24442555	40	1609977	S	Sphingomonas hengshuiensis
SRR24442555	218	397260	S	Sphingomonas sanxanigenens
SRR24442555	607	1921510	S	Sphingomonas sp. JJ-A5
SRR24442555	579	1961362	S	Sphingomonas sp. NIC1
SRR24442555	410	152682	S	Sphingomonas melonis
SRR24442555	26	941907	S	Sphingomonas indica
SRR24442555	618	745310	S	Sphingomonas sp. MM-1
SRR24442555	50	1549858	S	Sphingomonas taxi
SRR24442555	21	1030157	S	Sphingomonas sp. KC8
SRR24442555	305	2219696	S	Sphingomonas sp. FARSPH
SRR24442555	33	1938607	S	Sphingomonas sp. LM7
SRR24442555	195	93064	S	Sphingomonas koreensis
SRR24442555	25	1560345	S	Sphingomonas panacis
SRR24442555	494	33050	S	Sphingopyxis macrogoltabida
SRR24442555	624	1874061	S	Sphingopyxis sp. EG6
SRR24442555	255	33052	S	Sphingopyxis terrae
SRR24442555	307	292913	S	Sphingopyxis sp. 113P3
SRR24442555	128	1914525	S	Sphingopyxis sp. FD7
SRR24442555	43	1357916	S	Sphingopyxis sp. QXT-31
SRR24442555	188	2054227	S	Sphingopyxis sp. WS5A3p
SRR24442555	43	117207	S	Sphingopyxis alaskensis
SRR24442555	48	1515612	S	Sphingopyxis fribergensis
SRR24442555	553	267128	S	Sphingopyxis granuli
SRR24442555	1	1913578	S	Sphingopyxis sp. LPB0140
SRR24442555	202	1866325	S	Sphingopyxis sp. MG
SRR24442555	685	158500	S	Novosphingobium resinovorum
SRR24442555	106	48935	S	Novosphingobium aromaticivorans
SRR24442555	81	1016987	S	Novosphingobium sp. THN1
SRR24442555	53	1609758	S	Novosphingobium sp. P6W
SRR24442555	628	205844	S	Novosphingobium pentaromativorans
SRR24442555	272	702113	S	Novosphingobium sp. PP1Y
SRR24442555	76	1806885	S	Sphingorhabdus sp. M41
SRR24442555	79	266812	S	Sphingorhabdus flavimaris
SRR24442555	59	2077182	S	Sphingorhabdus sp. YGSMI21
SRR24442555	18	1922222	S	Sphingorhabdus sp. Alg231-15
SRR24442555	456	1842535	S	Blastomonas sp. RAC04
SRR24442555	295	1550728	S	Blastomonas fulva
SRR24442555	682	1850238	S	Rhizorhabdus dicambivorans
SRR24442555	144	1634516	S	Citromicrobium sp. JL477
SRR24442555	708	542	S	Zymomonas mobilis
SRR24442555	533	39960	S	Erythrobacter litoralis
SRR24442555	835	192812	S	Erythrobacter flavus
SRR24442555	96	1798193	S	Erythrobacter sp. HL-111
SRR24442555	31	1922225	S	Erythrobacter sp. Alg231-14
SRR24442555	222	1648404	S	Erythrobacter atlanticus
SRR24442555	24	2011159	S	Erythrobacter sp. KY5
SRR24442555	49	266951	S	Erythrobacter seohaensis
SRR24442555	33	2182384	S	Erythrobacter sp. YH-07
SRR24442555	15	502682	S	Erythrobacter gangjinensis
SRR24442555	123	361183	S	Altererythrobacter epoxidivorans
SRR24442555	78	645517	S	Altererythrobacter namhicola
SRR24442555	328	1267766	S	Altererythrobacter atlanticus
SRR24442555	89	1982042	S	Altererythrobacter mangrovi
SRR24442555	229	2060312	S	Altererythrobacter sp. B11
SRR24442555	21	476157	S	Altererythrobacter ishigakiensis
SRR24442555	16	2185142	S	Altererythrobacter sp. ZODW24
SRR24442555	59	692370	S	Altererythrobacter dongtanensis
SRR24442555	44	543877	S	Altererythrobacter marensis
SRR24442555	277	2023229	S	Porphyrobacter HT-58-2
SRR24442555	96	1112	S	Porphyrobacter neustonensis
SRR24442555	154	2003315	S	Porphyrobacter sp. CACIAM 03H1
SRR24442555	96	1896196	S	Porphyrobacter sp. LM 6
SRR24442555	789	450378	S	Croceicoccus marinus
SRR24442555	648	1348774	S	Croceicoccus naphthovorans
SRR24442555	1583	192	S	Azospirillum brasilense
SRR24442555	563	528244	S	Azospirillum thiophilum
SRR24442555	617	193	S	Azospirillum lipoferum
SRR24442555	300	682998	S	Azospirillum sp. M2T2B2
SRR24442555	472	664962	S	Azospirillum sp. TSH58
SRR24442555	234	1226968	S	Azospirillum humicireducens
SRR24442555	141	55518	S	Magnetospirillum gryphiswaldense
SRR24442555	227	84159	S	Magnetospirillum magneticum
SRR24442555	281	1663591	S	Magnetospirillum sp. XM-1
SRR24442555	127	1639348	S	Magnetospirillum sp. ME-1
SRR24442555	172	220697	S	Thalassospira xiamenensis
SRR24442555	92	2048283	S	Thalassospira marina
SRR24442555	23	1085	S	Rhodospirillum rubrum
SRR24442555	280	34018	S	Rhodospirillum centenum
SRR24442555	2633	171437	S	Tistrella mobilis
SRR24442555	197	1084	S	Pararhodospirillum photometricum
SRR24442555	191	28077	S	Nitrospirillum amazonense
SRR24442555	181	1612173	S	Niveispirillum cyanobacteriorum
SRR24442555	153	2220096	S	Rhodospirillaceae bacterium SCSIO 08040
SRR24442555	22	1288970	S	Magnetospira sp. QH-2
SRR24442555	14	1549855	S	Haematospirillum jordaniae
SRR24442555	0	1263979	S	Candidatus Endolissoclinum faulkneri
SRR24442555	574	265959	S	Komagataeibacter saccharivorans
SRR24442555	350	28448	S	Komagataeibacter xylinus
SRR24442555	149	265960	S	Komagataeibacter nataicola
SRR24442555	43	436	S	Komagataeibacter hansenii
SRR24442555	123	33995	S	Komagataeibacter europaeus
SRR24442555	149	1177712	S	Komagataeibacter medellinensis
SRR24442555	530	438	S	Acetobacter pasteurianus
SRR24442555	21	435	S	Acetobacter aceti
SRR24442555	20	1076596	S	Acetobacter persici
SRR24442555	143	481146	S	Acetobacter ascendens
SRR24442555	28	431306	S	Acetobacter ghanensis
SRR24442555	10	104102	S	Acetobacter tropicalis
SRR24442555	8	446692	S	Acetobacter senegalensis
SRR24442555	346	257708	S	Roseomonas gilardii
SRR24442555	465	2018065	S	Roseomonas sp. FDAARGOS_362
SRR24442555	1111	62140	S	Acidiphilium multivorum
SRR24442555	109	524	S	Acidiphilium cryptum
SRR24442555	283	442	S	Gluconobacter oxydans
SRR24442555	46	318683	S	Gluconobacter albidus
SRR24442555	62	364410	S	Granulibacter bethesdensis
SRR24442555	68	1969806	S	Acidisphaera sp. G45-3
SRR24442555	60	91915	S	Asaia bogorensis
SRR24442555	45	33996	S	Gluconacetobacter diazotrophicus
SRR24442555	33	320497	S	Neoasaia chiangmaiensis
SRR24442555	45	153496	S	Kozakia baliensis
SRR24442555	7	1510841	S	Parasaccharibacter apium
SRR24442555	4352	991904	S	Polymorphum gilvum
SRR24442555	285	1868589	S	Phreatobacter cathodiphilus
SRR24442555	16	349221	S	Micavibrio aeruginosavorus
SRR24442555	51	767892	S	Candidatus Puniceispirillum marinum
SRR24442555	208	69395	S	Caulobacter henricii
SRR24442555	140	366602	S	Caulobacter sp. K31
SRR24442555	141	69666	S	Caulobacter mirabilis
SRR24442555	236	88688	S	Caulobacter segnis
SRR24442555	217	155892	S	Caulobacter vibrioides
SRR24442555	86	1938605	S	Brevundimonas sp. LM2
SRR24442555	81	74313	S	Brevundimonas subvibrioides
SRR24442555	189	1532555	S	Brevundimonas sp. DS20
SRR24442555	88	588932	S	Brevundimonas naejangsanensis
SRR24442555	219	293	S	Brevundimonas diminuta
SRR24442555	247	41276	S	Brevundimonas vesicularis
SRR24442555	186	1827469	S	Brevundimonas sp. GW460-12-10-14-LB2
SRR24442555	202	284016	S	Phenylobacterium zucineum
SRR24442555	65	2201350	S	Phenylobacterium sp. HYN0004
SRR24442555	75	78587	S	Asticcacaulis excentricus
SRR24442555	9	1759059	S	Caulobacteraceae bacterium OTSz_A_272
SRR24442555	31	208216	S	Parvularcula bermudensis
SRR24442555	44	35789	S	Rickettsia helvetica
SRR24442555	77	444612	S	Rickettsia endosymbiont of Ixodes scapularis
SRR24442555	49	35793	S	Rickettsia sibirica
SRR24442555	32	33990	S	Rickettsia bellii
SRR24442555	0	784	S	Orientia tsutsugamushi
SRR24442555	90	169402	S	Wolbachia endosymbiont of Folsomia candida
SRR24442555	53	33994	S	Neorickettsia helminthoeca
SRR24442555	7	1528098	S	Rickettsiales bacterium Ac37b
SRR24442555	1	234827	S	Candidatus Midichloria mitochondrii
SRR24442555	9	1002672	S	Candidatus Pelagibacter sp. IMCC9063
SRR24442555	14	198252	S	Candidatus Pelagibacter ubique
SRR24442555	9	1388755	S	Candidatus Pelagibacter sp. HIMB1321
SRR24442555	4	1977865	S	Candidatus Pelagibacter sp. RS40
SRR24442555	4	1977864	S	Candidatus Pelagibacter sp. RS39
SRR24442555	2	744985	S	alpha proteobacterium HIMB59
SRR24442555	37	91604	S	Candidatus Paracaedibacter acanthamoebae
SRR24442555	19	1509244	S	Candidatus Nucleicultrix amoebiphila
SRR24442555	0	86106	S	endosymbiont of Acanthamoeba sp. UWC8
SRR24442555	2	1124597	S	Magnetococcus marinus
SRR24442555	1740	294	S	Pseudomonas fluorescens
SRR24442555	336	380021	S	Pseudomonas protegens
SRR24442555	264	169669	S	Pseudomonas extremorientalis
SRR24442555	293	47878	S	Pseudomonas azotoformans
SRR24442555	124	47879	S	Pseudomonas corrugata
SRR24442555	175	200450	S	Pseudomonas trivialis
SRR24442555	168	76758	S	Pseudomonas orientalis
SRR24442555	729	76761	S	Pseudomonas veronii
SRR24442555	217	75612	S	Pseudomonas mandelii
SRR24442555	70	183795	S	Pseudomonas mediterranea
SRR24442555	47	29442	S	Pseudomonas tolaasii
SRR24442555	418	76760	S	Pseudomonas rhodesiae
SRR24442555	116	47883	S	Pseudomonas synxantha
SRR24442555	54	129817	S	Pseudomonas brenneri
SRR24442555	24	46679	S	Pseudomonas mucidolens
SRR24442555	26	651740	S	Pseudomonas cedrina
SRR24442555	30	200451	S	Pseudomonas poae
SRR24442555	4039	287	S	Pseudomonas aeruginosa
SRR24442555	446	53408	S	Pseudomonas citronellolis
SRR24442555	491	300	S	Pseudomonas mendocina
SRR24442555	265	1149133	S	Pseudomonas furukawaii
SRR24442555	561	330	S	Pseudomonas pseudoalcaligenes
SRR24442555	111	43263	S	Pseudomonas alcaligenes
SRR24442555	112	53412	S	Pseudomonas resinovorans
SRR24442555	3780	303	S	Pseudomonas putida
SRR24442555	154	76759	S	Pseudomonas monteilii
SRR24442555	126	47880	S	Pseudomonas fulva
SRR24442555	36	47885	S	Pseudomonas oryzihabitans
SRR24442555	297	70775	S	Pseudomonas plecoglossicida
SRR24442555	159	78327	S	Pseudomonas mosselii
SRR24442555	1735	316	S	Pseudomonas stutzeri
SRR24442555	489	74829	S	Pseudomonas balearica
SRR24442555	59	271420	S	Pseudomonas xanthomarina
SRR24442555	1313	317	S	Pseudomonas syringae
SRR24442555	107	33069	S	Pseudomonas viridiflava
SRR24442555	51	36746	S	Pseudomonas cichorii
SRR24442555	1268	46257	S	Pseudomonas avellanae
SRR24442555	80	50340	S	Pseudomonas fuscovaginae
SRR24442555	23	29438	S	Pseudomonas savastanoi
SRR24442555	35	251701	S	Pseudomonas syringae group genomosp. 3
SRR24442555	660	587753	S	Pseudomonas chlororaphis
SRR24442555	520	296	S	Pseudomonas fragi
SRR24442555	30	47884	S	Pseudomonas taetrolens
SRR24442555	66	1931241	S	Pseudomonas sp. S-6-2
SRR24442555	208	157782	S	Pseudomonas parafulva
SRR24442555	153	216142	S	Pseudomonas rhizosphaerae
SRR24442555	197	1294143	S	Pseudomonas sp. ATCC 13867
SRR24442555	45	472181	S	Pseudomonas sabulinigri
SRR24442555	287	1628086	S	Pseudomonas kribbensis
SRR24442555	189	198618	S	Pseudomonas umsongensis
SRR24442555	364	198620	S	Pseudomonas koreensis
SRR24442555	88	237610	S	Pseudomonas psychrotolerans
SRR24442555	90	1930532	S	Pseudomonas sp. CC6-YY-74
SRR24442555	252	86265	S	Pseudomonas thivervalensis
SRR24442555	48	364197	S	Pseudomonas pohangensis
SRR24442555	103	797277	S	Pseudomonas litoralis
SRR24442555	63	1856685	S	Pseudomonas sp. TCU-HL1
SRR24442555	31	487184	S	Pseudomonas xinjiangensis
SRR24442555	123	395598	S	Pseudomonas reinekei
SRR24442555	167	2219057	S	Pseudomonas sp. LG1E9
SRR24442555	22	1434072	S	Pseudomonas salegens
SRR24442555	136	237609	S	Pseudomonas alkylphenolica
SRR24442555	105	1392877	S	Pseudomonas oryzae
SRR24442555	106	1245526	S	Pseudomonas guangdongensis
SRR24442555	265	321662	S	Pseudomonas moraviensis
SRR24442555	110	1207075	S	Pseudomonas sp. UW4
SRR24442555	48	2320867	S	Pseudomonas sp. K2W31S-8
SRR24442555	454	101564	S	Pseudomonas alcaliphila
SRR24442555	118	2201356	S	Pseudomonas sp. 31-12
SRR24442555	151	104087	S	Pseudomonas frederiksbergensis
SRR24442555	67	1499686	S	Pseudomonas saudiphocaensis
SRR24442555	520	65741	S	Pseudomonas knackmussii
SRR24442555	94	219572	S	Pseudomonas antarctica
SRR24442555	66	1881017	S	Pseudomonas sp. 7SR1
SRR24442555	89	359110	S	Pseudomonas extremaustralis
SRR24442555	124	1898684	S	Pseudomonas sp. LPH1
SRR24442555	43	2054914	S	Pseudomonas sp. 02C 26
SRR24442555	46	157783	S	Pseudomonas cremoricolorata
SRR24442555	13	46677	S	Pseudomonas agarici
