Sample	Reads	TaxID	Rank	Taxon
SRR24442555	465	2011159	S	                Erythrobacter sp. KY5
SRR24442555	405	266951	S	                Erythrobacter seohaensis
SRR24442555	317	2182384	S	                Erythrobacter sp. YH-07
SRR24442555	286	502682	S	                Erythrobacter gangjinensis
SRR24442555	621	361183	S	                Altererythrobacter epoxidivorans
SRR24442555	613	645517	S	                Altererythrobacter namhicola
SRR24442555	529	1267766	S	                Altererythrobacter atlanticus
SRR24442555	511	1982042	S	                Altererythrobacter mangrovi
SRR24442555	463	2060312	S	                Altererythrobacter sp. B11
SRR24442555	434	476157	S	                Altererythrobacter ishigakiensis
SRR24442555	411	2185142	S	                Altererythrobacter sp. ZODW24
SRR24442555	382	692370	S	                Altererythrobacter dongtanensis
SRR24442555	360	543877	S	                Altererythrobacter marensis
SRR24442555	881	2023229	S	                Porphyrobacter HT-58-2
SRR24442555	446	1112	S	                Porphyrobacter neustonensis
SRR24442555	441	2003315	S	                Porphyrobacter sp. CACIAM 03H1
SRR24442555	283	1896196	S	                Porphyrobacter sp. LM 6
SRR24442555	1418	450378	S	                Croceicoccus marinus
SRR24442555	287	1348774	S	                Croceicoccus naphthovorans
SRR24442555	1976	192	S	                Azospirillum brasilense
SRR24442555	1587	528244	S	                Azospirillum thiophilum
SRR24442555	1078	193	S	                Azospirillum lipoferum
SRR24442555	424	682998	S	                Azospirillum sp. M2T2B2
SRR24442555	319	664962	S	                Azospirillum sp. TSH58
SRR24442555	296	1226968	S	                Azospirillum humicireducens
SRR24442555	1167	55518	S	                Magnetospirillum gryphiswaldense
SRR24442555	630	84159	S	                Magnetospirillum magneticum
SRR24442555	537	1663591	S	                Magnetospirillum sp. XM-1
SRR24442555	204	1639348	S	                Magnetospirillum sp. ME-1
SRR24442555	1182	220697	S	                Thalassospira xiamenensis
SRR24442555	615	2048283	S	                Thalassospira marina
SRR24442555	971	1085	S	                Rhodospirillum rubrum
SRR24442555	911	34018	S	                Rhodospirillum centenum
SRR24442555	1484	171437	S	                Tistrella mobilis
SRR24442555	1282	1084	S	                Pararhodospirillum photometricum
SRR24442555	1235	28077	S	                Nitrospirillum amazonense
SRR24442555	867	1612173	S	                Niveispirillum cyanobacteriorum
SRR24442555	829	2220096	S	                Rhodospirillaceae bacterium SCSIO 08040
SRR24442555	676	1288970	S	                Magnetospira sp. QH-2
SRR24442555	151	1549855	S	                Haematospirillum jordaniae
SRR24442555	17	1263979	S	                Candidatus Endolissoclinum faulkneri
SRR24442555	842	265959	S	                Komagataeibacter saccharivorans
SRR24442555	512	28448	S	                Komagataeibacter xylinus
SRR24442555	386	265960	S	                Komagataeibacter nataicola
SRR24442555	365	436	S	                Komagataeibacter hansenii
SRR24442555	191	33995	S	                Komagataeibacter europaeus
SRR24442555	162	1177712	S	                Komagataeibacter medellinensis
SRR24442555	315	438	S	                Acetobacter pasteurianus
SRR24442555	269	435	S	                  Acetobacter aceti
SRR24442555	243	1076596	S	                Acetobacter persici
SRR24442555	218	481146	S	                Acetobacter ascendens
SRR24442555	134	431306	S	                Acetobacter ghanensis
SRR24442555	25	104102	S	                Acetobacter tropicalis
SRR24442555	19	446692	S	                Acetobacter senegalensis
SRR24442555	2	1633874	S	                Acetobacter oryzifermentans
SRR24442555	573	257708	S	                Roseomonas gilardii
SRR24442555	454	2018065	S	                Roseomonas sp. FDAARGOS_362
SRR24442555	209	62140	S	                Acidiphilium multivorum
SRR24442555	19	524	S	                Acidiphilium cryptum
SRR24442555	1017	442	S	                Gluconobacter oxydans
SRR24442555	229	318683	S	                Gluconobacter albidus
SRR24442555	632	364410	S	                Granulibacter bethesdensis
SRR24442555	568	1969806	S	                Acidisphaera sp. G45-3
SRR24442555	487	91915	S	                Asaia bogorensis
SRR24442555	281	33996	S	                Gluconacetobacter diazotrophicus
SRR24442555	211	320497	S	                Neoasaia chiangmaiensis
SRR24442555	162	153496	S	                Kozakia baliensis
SRR24442555	93	1510841	S	                Parasaccharibacter apium
SRR24442555	10391	991904	S	              Polymorphum gilvum
SRR24442555	1015	1868589	S	              Phreatobacter cathodiphilus
SRR24442555	1009	349221	S	              Micavibrio aeruginosavorus
SRR24442555	801	767892	S	                Candidatus Puniceispirillum marinum
SRR24442555	690	69395	S	                Caulobacter henricii
SRR24442555	586	366602	S	                Caulobacter sp. K31
SRR24442555	501	69666	S	                Caulobacter mirabilis
SRR24442555	491	88688	S	                Caulobacter segnis
SRR24442555	468	155892	S	                Caulobacter vibrioides
SRR24442555	448	1938605	S	                Brevundimonas sp. LM2
SRR24442555	361	74313	S	                Brevundimonas subvibrioides
SRR24442555	268	1532555	S	                Brevundimonas sp. DS20
SRR24442555	246	588932	S	                Brevundimonas naejangsanensis
SRR24442555	230	293	S	                Brevundimonas diminuta
SRR24442555	225	41276	S	                Brevundimonas vesicularis
SRR24442555	129	1827469	S	                Brevundimonas sp. GW460-12-10-14-LB2
SRR24442555	592	284016	S	                Phenylobacterium zucineum
SRR24442555	446	2201350	S	                Phenylobacterium sp. HYN0004
SRR24442555	806	78587	S	                Asticcacaulis excentricus
SRR24442555	490	1759059	S	                Caulobacteraceae bacterium OTSz_A_272
SRR24442555	916	208216	S	                Parvularcula bermudensis
SRR24442555	95	35789	S	                    Rickettsia helvetica
SRR24442555	52	444612	S	                    Rickettsia endosymbiont of Ixodes scapularis
SRR24442555	17	35793	S	                      Rickettsia sibirica
SRR24442555	9	109232	S	                    Rickettsia monacensis
SRR24442555	2	787	S	                    Rickettsia australis
SRR24442555	2	42862	S	                    Rickettsia felis
SRR24442555	1	786	S	                    Rickettsia akari
SRR24442555	1	35791	S	                    Rickettsia massiliae
SRR24442555	8	785	S	                    Rickettsia typhi
SRR24442555	1	782	S	                    Rickettsia prowazekii
SRR24442555	12	33990	S	                    Rickettsia bellii
SRR24442555	3	788	S	                    Rickettsia canadensis
SRR24442555	8	337479	S	                    Rickettsia endosymbiont of Bemisia tabaci
SRR24442555	15	784	S	                  Orientia tsutsugamushi
SRR24442555	9	2115978	S	                Candidatus Phycorickettsia trachydisci
SRR24442555	33	169402	S	                  Wolbachia endosymbiont of Folsomia candida
SRR24442555	5	80849	S	                  Wolbachia endosymbiont of Brugia malayi
SRR24442555	3	246273	S	                  Wolbachia endosymbiont of Cimex lectularius
SRR24442555	1	163164	S	                  Wolbachia endosymbiont of Drosophila melanogaster
SRR24442555	22	33994	S	                Neorickettsia helminthoeca
SRR24442555	4	951	S	                Neorickettsia sennetsu
SRR24442555	1	950	S	                Neorickettsia risticii
SRR24442555	2	769	S	                Anaplasma centrale
SRR24442555	1	948	S	                  Anaplasma phagocytophilum
SRR24442555	1	142058	S	                Anaplasma ovis
SRR24442555	4	779	S	                  Ehrlichia ruminantium
SRR24442555	2	945	S	                  Ehrlichia chaffeensis
SRR24442555	1	944	S	                  Ehrlichia canis
SRR24442555	1	391036	S	                  Ehrlichia sp. HF
SRR24442555	35	1528098	S	                Rickettsiales bacterium Ac37b
SRR24442555	14	234827	S	                Candidatus Midichloria mitochondrii
SRR24442555	5	1802984	S	                Candidatus Fokinia solitaria
SRR24442555	71	1002672	S	                Candidatus Pelagibacter sp. IMCC9063
SRR24442555	64	198252	S	                Candidatus Pelagibacter ubique
SRR24442555	37	1388755	S	                Candidatus Pelagibacter sp. HIMB1321
SRR24442555	32	1977865	S	                Candidatus Pelagibacter sp. RS40
SRR24442555	18	1977864	S	                Candidatus Pelagibacter sp. RS39
SRR24442555	63	744985	S	                alpha proteobacterium HIMB59
SRR24442555	8	859653	S	                alpha proteobacterium HIMB5
SRR24442555	8	1925548	S	              Candidatus Fonsibacter ubiquis
SRR24442555	61	91604	S	                Candidatus Paracaedibacter acanthamoebae
SRR24442555	52	1509244	S	                Candidatus Nucleicultrix amoebiphila
SRR24442555	11	86106	S	                endosymbiont of Acanthamoeba sp. UWC8
SRR24442555	142	1124597	S	                Magnetococcus marinus
SRR24442555	951	294	S	                  Pseudomonas fluorescens
SRR24442555	442	380021	S	                  Pseudomonas protegens
SRR24442555	268	169669	S	                  Pseudomonas extremorientalis
SRR24442555	255	47878	S	                  Pseudomonas azotoformans
SRR24442555	232	47879	S	                  Pseudomonas corrugata
SRR24442555	230	200450	S	                  Pseudomonas trivialis
SRR24442555	224	76758	S	                  Pseudomonas orientalis
SRR24442555	192	76761	S	                  Pseudomonas veronii
SRR24442555	185	75612	S	                  Pseudomonas mandelii
SRR24442555	125	183795	S	                  Pseudomonas mediterranea
SRR24442555	118	29442	S	                  Pseudomonas tolaasii
SRR24442555	111	76760	S	                  Pseudomonas rhodesiae
SRR24442555	71	47883	S	                  Pseudomonas synxantha
SRR24442555	68	129817	S	                  Pseudomonas brenneri
SRR24442555	53	46679	S	                  Pseudomonas mucidolens
SRR24442555	41	651740	S	                  Pseudomonas cedrina
