contigName	contigLen	totalAvgDepth	aln.sorted.bam	aln.sorted.bam-var
k39_78668	1480	4.39774	4.39774	2.70323
k39_59068	2615	9.18012	9.18012	16.9482
k39_137407	3170	3.83477	3.83477	2.61958
k39_59073	1621	3.87084	3.87084	1.0663
k39_293	2070	7.10469	7.10469	5.60082
k39_298	2063	4.38944	4.38944	3.87495
k39_117876	1083	3.09646	3.09646	2.84475
k39_39519	1009	5.60652	5.60652	5.13637
k39_59081	1514	2.82551	2.82551	0.779509
k39_137426	1005	6.04561	6.04561	7.49323
k39_78709	1297	2.61029	2.61029	1.34973
k39_78719	1404	4.5949	4.5949	3.38084
k39_137435	4758	4.89453	4.89453	5.91147
k39_59099	1787	6.95235	6.95235	4.0833
k39_59105	4163	6.3546	6.3546	4.22895
k39_39555	2144	9.41876	9.41876	7.19387
k39_117904	1711	4.67905	4.67905	5.02963
k39_339	1413	7.72684	7.72684	3.75971
k39_39568	1188	3.14644	3.14644	2.12318
k39_20023	10184	7.80905	7.80905	11.1482
k39_59132	1536	6.88384	6.88384	2.53162
k39_20026	9169	8.51236	8.51236	10.9678
k39_39610	1521	3.03136	3.03136	1.66689
k39_59148	3546	8.51649	8.51649	9.18402
k39_78791	11250	7.86982	7.86982	7.53718
k39_399	1296	4.6911	4.6911	2.43027
k39_137504	1278	3.67996	3.67996	1.68366
k39_407	1502	3.72411	3.72411	1.81504
k39_78797	1097	3.15312	3.15312	1.35814
k39_39626	1231	8.61332	8.61332	12.2874
k39_137515	1209	2.77337	2.77337	0.757657
k39_137519	1091	7.76833	7.76833	2.66542
k39_59174	6078	7.472	7.472	8.77494
k39_118002	2328	4.70937	4.70937	5.46763
k39_20082	1203	2.77303	2.77303	1.32391
k39_98410	1293	3.56955	3.56955	1.17007
k39_118011	1485	3.39401	3.39401	2.9106
k39_78818	1152	3.73952	3.73952	2.06695
k39_118035	1806	6.49698	6.49698	4.76735
k39_118036	1347	4.57644	4.57644	2.79285
k39_78839	1317	5.14396	5.14396	2.10619
k39_98473	1470	10.3644	10.3644	6.79582
k39_137602	3336	5.82831	5.82831	6.02416
k39_20145	1439	6.62374	6.62374	5.14013
k39_98498	4485	6.69896	6.69896	7.31239
k39_39690	1078	2.35129	2.35129	1.01562
k39_137616	1137	2.90983	2.90983	1.46753
k39_98517	1179	3.3518	3.3518	1.73605
k39_39712	2485	8.74518	8.74518	10.362
k39_78883	6823	9.50997	9.50997	21.518
k39_543	5348	8.37053	8.37053	8.05161
k39_20194	2074	3.90229	3.90229	2.72267
k39_59289	1469	8.94996	8.94996	6.15832
k39_20195	3935	5.17543	5.17543	4.30596
k39_39721	5692	5.83111	5.83111	5.35986
k39_137656	1320	3.90171	3.90171	2.36073
k39_20207	1076	2.50864	2.50864	1.10642
k39_98540	1422	7.3294	7.3294	4.95907
k39_137661	1467	4.41913	4.41913	3.29685
k39_39730	1284	2.71605	2.71605	1.42327
k39_78897	4242	4.47629	4.47629	3.9356
k39_98549	13327	7.07604	7.07604	6.66206
k39_118120	1688	8.25423	8.25423	3.96721
k39_78912	1342	4.70973	4.70973	3.59157
k39_39752	3692	4.2476	4.2476	2.55296
k39_588	1248	3.05647	3.05647	2.43255
k39_98571	1172	3.02153	3.02153	1.97602
k39_98582	1084	3.20343	3.20343	2.25869
k39_118145	1931	4.2712	4.2712	3.47752
k39_20266	1165	3.04039	3.04039	1.84156
k39_98584	1375	4.38367	4.38367	3.57816
k39_98585	1402	2.92412	2.92412	1.24204
k39_98593	1139	2.93731	2.93731	0.708618
k39_59380	2674	5.34588	5.34588	4.65685
k39_39796	1453	3.63315	3.63315	2.4475
k39_20292	6661	8.3296	8.3296	7.71632
k39_39798	6760	8.31135	8.31135	8.12876
k39_137728	1183	3.03969	3.03969	1.0304
k39_78970	12213	7.83445	7.83445	7.43344
k39_39827	2690	8.25354	8.25354	6.74074
k39_78983	5972	8.6551	8.6551	7.87035
k39_137796	1222	2.57276	2.57276	2.32338
k39_59460	1260	3.77928	3.77928	2.37777
k39_98685	1060	9.64615	9.64615	7.01656
k39_98697	2871	4.35061	4.35061	4.519
k39_674	20605	8.24283	8.24283	9.37753
k39_39875	1756	8.87671	8.87671	5.35548
k39_20377	11386	7.71671	7.71671	9.00476
k39_98717	3157	7.29797	7.29797	5.02426
k39_98730	1254	3.62047	3.62047	2.52583
k39_59537	1411	3.16812	3.16812	1.75108
k39_137880	2595	5.20654	5.20654	4.1066
k39_79075	1756	7.63387	7.63387	7.28521
k39_98743	5156	4.89493	4.89493	2.64427
k39_118337	4994	6.98121	6.98121	9.16934
k39_20434	1862	4.25876	4.25876	3.35028
k39_98755	1547	4.63135	4.63135	4.95491
k39_39912	17084	7.76414	7.76414	8.97627
k39_79088	3336	3.7489	3.7489	2.42737
k39_766	1029	3.50171	3.50171	1.38468
k39_59579	1440	2.91395	2.91395	2.58136
k39_118348	7793	8.01662	8.01662	6.91824
k39_39934	1053	3.63234	3.63234	1.36801
k39_79134	1120	2.97113	2.97113	1.6999
k39_98811	1003	4.22743	4.22743	4.44821
k39_39956	1768	6.73115	6.73115	3.67969
k39_118384	1182	2.20736	2.20736	1.37306
k39_118387	2616	8.14801	8.14801	5.89409
k39_98829	9137	7.16335	7.16335	6.17113
k39_59629	2126	8.67966	8.67966	5.41881
k39_137981	1576	4.50491	4.50491	3.37013
k39_79175	2091	4.6203	4.6203	2.27588
k39_850	1295	7.84803	7.84803	7.41045
k39_118402	1068	3.65577	3.65577	1.11148
k39_39993	8778	8.82823	8.82823	9.75165
k39_79191	1399	3.20576	3.20576	1.36228
k39_98854	1118	3.63533	3.63533	1.07577
k39_118422	2240	5.2244	5.2244	3.4178
k39_79198	1994	4.70065	4.70065	6.96625
k39_40001	2721	4.42007	4.42007	4.22114
k39_875	1048	3.67929	3.67929	2.63505
k39_79208	1051	2.84906	2.84906	1.53942
k39_878	1587	3.98052	3.98052	1.95644
k39_98862	12032	7.73144	7.73144	9.18943
k39_138049	1001	2.05053	2.05053	0.424503
k39_887	1078	3.2931	3.2931	1.54939
k39_59671	12828	7.23016	7.23016	9.0194
k39_98882	3354	8.91199	8.91199	17.0436
k39_59681	1491	5.21999	5.21999	2.49111
k39_20586	2080	6.93938	6.93938	4.31206
k39_79247	1500	3.99037	3.99037	2.60553
k39_118487	3061	4.54414	4.54414	2.73817
k39_40080	1220	11.5682	11.5682	11.2596
k39_59704	4766	6.10009	6.10009	7.28496
k39_118488	4238	9.01419	9.01419	9.24278
k39_897	20073	8.1953	8.1953	8.95418
k39_59709	1612	3.7736	3.7736	2.25195
k39_911	1115	3.05285	3.05285	2.58952
k39_138089	7060	8.25456	8.25456	7.10156
k39_40095	1091	10.0085	10.0085	7.7467
k39_59724	2960	9.68114	9.68114	9.52467
k39_40109	1110	3.07396	3.07396	1.75991
k39_79307	2401	8.35184	8.35184	12.5757
k39_20652	1672	8.25493	8.25493	4.94219
k39_118525	1290	4.97807	4.97807	3.14
k39_20656	1023	2.91294	2.91294	0.652964
k39_40125	1381	2.1251	2.1251	1.09328
k39_118541	3138	6.3407	6.3407	9.533
k39_926	25728	7.73032	7.73032	9.77161
k39_79328	2331	4.1348	4.1348	4.78281
k39_118551	1116	3.1294	3.1294	1.89515
k39_40140	5074	7.90678	7.90678	13.0631
k39_99006	2646	3.11418	3.11418	2.35368
k39_118564	13780	7.80492	7.80492	6.95485
k39_20702	1352	3.25874	3.25874	1.84391
k39_118570	1327	3.29397	3.29397	1.388
k39_99019	1140	2.82626	2.82626	2.25086
k39_982	1079	3.65662	3.65662	2.58132
k39_99027	1520	3.56934	3.56934	2.18257
k39_118574	1980	2.52022	2.52022	1.10483
k39_59813	2303	4.62053	4.62053	2.90196
k39_99036	1047	4.02453	4.02453	3.24049
k39_99047	1527	4.11983	4.11983	3.10699
k39_59819	5509	8.13006	8.13006	7.71686
k39_79400	1813	4.33253	4.33253	5.53851
k39_40180	2336	6.44007	6.44007	4.23553
k39_79401	4305	8.18965	8.18965	6.40647
k39_20741	4508	7.39743	7.39743	9.27876
k39_118609	1525	4.12945	4.12945	2.04292
k39_138225	7592	8.01707	8.01707	8.42549
k39_118610	1247	4.14768	4.14768	2.22453
k39_1050	1436	4.65241	4.65241	3.71798
k39_1062	1690	4.5026	4.5026	2.3931
k39_59865	1114	4.19087	4.19087	4.25011
k39_20815	2614	9.06412	9.06412	6.31996
k39_99143	1803	7.45251	7.45251	7.35684
k39_59923	4354	7.57945	7.57945	7.19454
k39_40259	4243	8.71977	8.71977	13.2794
k39_138318	1528	3.1865	3.1865	1.84826
k39_118709	1156	3.54374	3.54374	3.70105
k39_59924	1265	2.38924	2.38924	0.839385
k39_99151	12095	7.21046	7.21046	8.03659
k39_118714	7154	9.0504	9.0504	14.1742
k39_99157	3408	8.05157	8.05157	7.76591
k39_20817	24688	8.27154	8.27154	8.16184
k39_138349	1401	5.3725	5.3725	5.34591
k39_59948	1275	3.59644	3.59644	1.45264
k39_59951	1663	4.50826	4.50826	3.82947
k39_1162	1547	3.75519	3.75519	4.25089
k39_40288	1608	6.0192	6.0192	4.91383
k39_59962	1537	3.75415	3.75415	2.29234
k39_1167	1333	2.40913	2.40913	1.09135
k39_79524	6569	7.11731	7.11731	6.00097
k39_20848	2426	7.82777	7.82777	8.37999
k39_20853	1164	1.88856	1.88856	0.592704
k39_138380	2247	6.67763	6.67763	10.874
k39_40299	9465	7.9183	7.9183	7.08168
k39_79531	8007	8.01044	8.01044	6.08229
k39_1188	1124	3.26797	3.26797	0.975387
k39_1206	1894	4.10321	4.10321	1.92968
k39_138391	8441	7.98106	7.98106	6.89834
k39_1210	1805	4.03142	4.03142	3.70398
k39_60010	3446	7.51881	7.51881	6.14966
k39_1219	1188	5.04335	5.04335	4.52946
k39_40337	1178	4.23833	4.23833	3.25473
k39_20894	1625	3.93695	3.93695	2.71312
k39_118763	19890	8.6151	8.6151	9.07796
k39_1228	2354	5.19328	5.19328	4.13058
k39_99237	1029	4.63254	4.63254	3.09831
k39_118771	1814	6.75301	6.75301	8.88963
k39_118782	1116	3.70497	3.70497	1.08074
k39_138446	1365	2.53086	2.53086	0.598515
k39_138447	1303	3.3131	3.3131	2.32637
k39_20909	14281	8.23325	8.23325	8.64003
k39_138451	1730	3.87152	3.87152	1.66112
k39_40367	3884	7.85217	7.85217	5.1488
k39_20911	1057	2.62404	2.62404	0.788958
k39_60047	7802	8.70635	8.70635	9.33537
k39_138457	3410	7.50061	7.50061	8.08251
k39_60051	1997	5.09312	5.09312	3.31205
k39_1270	1869	8.55846	8.55846	5.63438
k39_40401	1547	6.61775	6.61775	3.2936
k39_40408	1040	4.78202	4.78202	4.08744
k39_79650	2216	8.53727	8.53727	14.8026
k39_1310	1839	4.20308	4.20308	5.20691
k39_20985	1277	3.23336	3.23336	2.0796
k39_118861	1345	3.58159	3.58159	4.52332
k39_99337	1689	8.1475	8.1475	10.001
k39_138516	15489	7.66484	7.66484	8.60724
k39_1333	10948	8.24217	8.24217	9.21818
k39_138517	1306	3.2128	3.2128	1.5893
k39_118889	13748	6.73974	6.73974	7.63614
k39_1354	1455	4.09808	4.09808	2.18823
k39_40485	7942	7.28029	7.28029	8.00455
k39_79740	1488	3.36099	3.36099	1.63699
k39_40490	1325	3.12596	3.12596	1.90406
k39_21055	4134	7.7008	7.7008	5.47507
k39_79749	1504	2.86484	2.86484	1.47101
k39_1372	1315	3.60172	3.60172	2.68488
k39_40504	1692	7.70039	7.70039	5.526
k39_99407	1143	3.43001	3.43001	2.29575
k39_118918	3102	6.62771	6.62771	9.86315
k39_99410	4668	7.09717	7.09717	5.40052
k39_40518	1122	3.30247	3.30247	2.7735
k39_79775	1200	9.69333	9.69333	12.7352
k39_79779	1040	4.87303	4.87303	3.5193
k39_60201	3783	5.17231	5.17231	3.64043
k39_40530	1197	2.82713	2.82713	2.17752
k39_118957	1270	2.69018	2.69018	0.75379
k39_40540	1445	5.3305	5.3305	2.85666
k39_21081	20680	8.17569	8.17569	8.68153
k39_99436	2426	3.43761	3.43761	3.70555
k39_60208	8759	7.82611	7.82611	10.2632
k39_60210	1020	3.41609	3.41609	4.03151
k39_40562	1439	6.88363	6.88363	4.23022
k39_60240	1276	3.873	3.873	2.92697
k39_60244	1044	3.79083	3.79083	1.74007
k39_1444	2322	7.33333	7.33333	5.79118
k39_21129	1224	3.16853	3.16853	1.98369
k39_99479	1830	5.43631	5.43631	4.87621
k39_1452	2388	5.45979	5.45979	7.47509
k39_60259	2148	4.5966	4.5966	4.70248
k39_138670	1015	4.18266	4.18266	4.30688
k39_119015	2870	8.40037	8.40037	9.41031
k39_40605	1037	3.34837	3.34837	2.51396
k39_1462	4330	5.12034	5.12034	4.15227
k39_21155	1491	7.16853	7.16853	4.91783
k39_79885	1180	3.22816	3.22816	2.35896
k39_21169	2022	7.99412	7.99412	5.27146
k39_1487	1169	4.20118	4.20118	3.07051
k39_40643	1425	4.3898	4.3898	2.32751
k39_60312	7507	7.81378	7.81378	7.18108
k39_21174	9865	7.20546	7.20546	6.94584
k39_138733	3467	7.88604	7.88604	8.21985
k39_40662	1743	3.20339	3.20339	1.64705
k39_99562	1678	6.34359	6.34359	13.5446
k39_60336	5183	7.53924	7.53924	8.88093
k39_138742	1825	3.60478	3.60478	1.51635
k39_99569	2650	5.236	5.236	3.82661
k39_21196	4775	8.0973	8.0973	13.3227
k39_79941	2146	5.0987	5.0987	5.56868
k39_138748	1068	4.0098	4.0098	3.29653
k39_138755	1081	4.34909	4.34909	1.08554
k39_79944	1813	3.7721	3.7721	4.24828
k39_21205	3375	6.03659	6.03659	5.9577
k39_99595	1318	2.68322	2.68322	1.62536
k39_40720	1141	2.07972	2.07972	0.465356
k39_119122	1112	3.79418	3.79418	1.90763
k39_21223	3071	6.65628	6.65628	4.18045
k39_1556	2150	3.8765	3.8765	2.55152
k39_99615	1373	3.36549	3.36549	1.80657
k39_1575	1343	4.33445	4.33445	3.76472
k39_21243	7431	6.91086	6.91086	7.42155
k39_1581	2497	4.45846	4.45846	4.01046
k39_60420	4360	9.27245	9.27245	10.3014
k39_119177	1516	3.73426	3.73426	1.1872
k39_99646	1611	4.47639	4.47639	2.61126
k39_138816	3537	6.22763	6.22763	8.65896
k39_21269	1028	3.36902	3.36902	2.08945
k39_80017	1060	4.30659	4.30659	3.15231
k39_1617	1110	3.76667	3.76667	1.84331
k39_119207	1128	4.06442	4.06442	1.6632
k39_99673	3174	7.88525	7.88525	6.92454
k39_40795	1891	3.81103	3.81103	2.24988
k39_1627	2345	5.7426	5.7426	6.20309
k39_99692	1843	6.71235	6.71235	6.94736
k39_40807	1684	5.48892	5.48892	5.50641
k39_138868	1144	3.66298	3.66298	1.95982
k39_40818	5750	7.79018	7.79018	12.8895
k39_138872	1068	3.68845	3.68845	1.2158
k39_40829	1417	3.24467	3.24467	2.44563
k39_119269	1051	2.98113	2.98113	0.767425
k39_138886	1219	3.50047	3.50047	2.18469
k39_60540	1264	2.95242	2.95242	2.5
k39_21334	6816	7.10111	7.10111	6.6301
k39_138898	1877	7.94731	7.94731	8.20063
k39_40862	2122	10.966	10.966	10.7461
k39_138906	1554	4.89387	4.89387	3.88679
k39_40865	1280	3.15133	3.15133	2.30567
k39_80099	9551	7.64514	7.64514	13.4306
k39_40867	2267	9.51157	9.51157	7.94659
k39_80101	1553	7.01426	7.01426	8.79724
k39_21362	1107	2.96447	2.96447	1.1159
k39_60553	10115	8.93246	8.93246	9.50423
k39_60566	1235	4.21659	4.21659	3.0776
k39_80116	11511	7.77713	7.77713	8.75175
k39_80118	1030	2.38295	2.38295	0.555117
k39_60587	1863	5.63573	5.63573	4.4876
k39_119331	13460	7.78851	7.78851	8.1911
k39_138977	1901	9.01199	9.01199	7.27585
k39_40919	1045	2.89162	2.89162	1.23768
k39_40921	2354	6.9333	6.9333	6.36821
k39_40922	4152	7.52124	7.52124	10.6115
k39_21411	5868	8.77457	8.77457	12.13
k39_99853	2877	7.88376	7.88376	11.9386
k39_80155	6317	7.51419	7.51419	6.22126
k39_21423	1146	3.35341	3.35341	1.10713
k39_40949	1518	2.34503	2.34503	1.09958
k39_119385	2069	3.77749	3.77749	1.58394
k39_40956	1348	3.04174	3.04174	1.15281
k39_60655	2132	3.63824	3.63824	2.05031
k39_21453	2838	3.65923	3.65923	3.19085
k39_139052	2021	6.77552	6.77552	7.43622
k39_40970	1333	3.76162	3.76162	1.80438
k39_1810	12475	8.10012	8.10012	7.85785
k39_139061	1500	3.56667	3.56667	1.99071
k39_1812	3056	8.6872	8.6872	10.0168
k39_99911	6226	7.44273	7.44273	7.13547
k39_40992	1961	7.26836	7.26836	3.23842
k39_80238	1272	9.36007	9.36007	6.62672
k39_80239	3378	6.77416	6.77416	7.54022
k39_119437	1678	4.94175	4.94175	6.92324
k39_99936	5205	7.09199	7.09199	8.50372
k39_1834	4694	6.22425	6.22425	6.21449
k39_41029	4015	8.1912	8.1912	8.12576
k39_99958	1061	5.28321	5.28321	2.66038
k39_21537	1849	7.41318	7.41318	9.11541
k39_60737	1228	2.61874	2.61874	1.06621
k39_139129	2184	4.41937	4.41937	2.5161
k39_119485	1163	2.93978	2.93978	1.08432
k39_60762	1045	4.7933	4.7933	2.15745
k39_60772	1015	4.78035	4.78035	2.56512
k39_119506	1072	3.08351	3.08351	1.89638
k39_41083	7291	8.03389	8.03389	9.29362
k39_80298	13360	5.4184	5.4184	6.12542
k39_80309	1122	6.40226	6.40226	3.27879
k39_60793	2616	4.50446	4.50446	2.41884
k39_41111	1315	4.54678	4.54678	3.58482
k39_41114	1275	4.84267	4.84267	2.02238
k39_41115	1195	3.02966	3.02966	1.02306
k39_21606	1341	4.15785	4.15785	3.39522
k39_1916	12704	7.48964	7.48964	8.12971
k39_139202	1228	4.5872	4.5872	5.32524
k39_139205	1002	3.75704	3.75704	1.62246
k39_80339	7959	8.38776	8.38776	9.05468
k39_41133	4029	4.01366	4.01366	2.59565
k39_80345	1059	2.92849	2.92849	1.82196
k39_41137	1717	3.31525	3.31525	2.09853
k39_21646	1158	2.4752	2.4752	0.68657
k39_100100	3915	8.62364	8.62364	11.6072
k39_139219	1777	5.67978	5.67978	3.41956
k39_60817	14368	8.56696	8.56696	8.23009
k39_119574	9679	7.46374	7.46374	7.41684
k39_21653	6009	6.83444	6.83444	7.34205
k39_1955	3884	6.75817	6.75817	9.56838
k39_80384	1001	5.62397	5.62397	6.44668
k39_119588	2670	7.8746	7.8746	6.82666
k39_41182	1715	4.13099	4.13099	2.94258
k39_60837	1696	3.6022	3.6022	2.63971
k39_60840	2359	6.15482	6.15482	3.77856
k39_119607	1982	3.89028	3.89028	2.02019
k39_60848	1347	3.48789	3.48789	1.67312
k39_21656	21903	8.14991	8.14991	8.73965
k39_60850	3547	7.90874	7.90874	5.83389
k39_1974	7365	8.85295	8.85295	8.58456
k39_80407	5533	8.79974	8.79974	7.72139
k39_139291	1140	6.77374	6.77374	10.2602
k39_2000	1129	3.75179	3.75179	3.30949
k39_21690	1355	4.3751	4.3751	2.53028
k39_60870	9856	8.194	8.194	8.4837
k39_80434	3632	4.67002	4.67002	3.55412
k39_41236	2354	4.27132	4.27132	3.20007
k39_2017	11332	7.57932	7.57932	9.95184
k39_21713	6643	7.63869	7.63869	9.42748
k39_2024	1060	5.50769	5.50769	5.8366
k39_139347	2053	3.82712	3.82712	2.50794
k39_21721	1049	3.43604	3.43604	1.02792
k39_100219	7925	8.54225	8.54225	8.0857
k39_41269	2432	5.40403	5.40403	5.88758
k39_21741	1051	5.03441	5.03441	1.69992
k39_100237	2484	4.05613	4.05613	3.70917
k39_80480	2070	7.79063	7.79063	8.07911
k39_100247	1496	6.70728	6.70728	6.14913
k39_2051	3326	9.75598	9.75598	14.5446
k39_80502	10367	8.10952	8.10952	7.63012
k39_139402	1542	3.68391	3.68391	3.88995
k39_100278	2581	4.24969	4.24969	1.93226
k39_41272	25044	8.89238	8.89238	9.45631
k39_80503	5838	8.34089	8.34089	6.12824
k39_2112	1617	2.96455	2.96455	1.28797
k39_119745	18652	8.15869	8.15869	9.7368
k39_100321	1029	3.65301	3.65301	2.85097
k39_139434	1422	4.82469	4.82469	4.41535
k39_61042	1591	5.62665	5.62665	4.41046
k39_21881	2067	5.66197	5.66197	7.41592
k39_61048	2956	7.88774	7.88774	7.4986
k39_80585	2247	5.49165	5.49165	5.21376
k39_80589	3520	6.42374	6.42374	5.21544
k39_100380	3224	5.72349	5.72349	3.30654
k39_2187	1613	3.22898	3.22898	1.82511
k39_119819	1766	4.0526	4.0526	1.86534
k39_2190	1166	4.17717	4.17717	3.67302
k39_100385	4273	9.06185	9.06185	10.4176
k39_119820	1153	3.91027	3.91027	1.55881
k39_41391	1106	3.26255	3.26255	1.6179
k39_100408	1095	3.10899	3.10899	1.65653
k39_2213	9244	7.92226	7.92226	9.10892
k39_119855	1331	4.96698	4.96698	2.85397
k39_139567	1003	2.98124	2.98124	1.12875
k39_41453	1605	2.69072	2.69072	0.949677
k39_61126	1062	2.44846	2.44846	0.789874
k39_80665	5310	3.85388	3.85388	2.89356
k39_80668	1418	5.88486	5.88486	5.73576
k39_119891	2432	3.91323	3.91323	3.31994
k39_41482	1964	4.11081	4.11081	2.7671
k39_2254	15728	7.25607	7.25607	9.9488
k39_139615	1044	3.2349	3.2349	1.50579
k39_41489	1610	6.70685	6.70685	3.58228
k39_139621	1250	10.2055	10.2055	7.83764
k39_41493	1489	3.39806	3.39806	1.87805
k39_80694	1028	4.45444	4.45444	2.50363
k39_41497	1114	3.53112	3.53112	3.09456
k39_41498	1356	10.7844	10.7844	14.4547
k39_41507	1102	2.81303	2.81303	0.600128
k39_22062	1017	3.3887	3.3887	2.32564
k39_41523	1008	5.67016	5.67016	4.40804
k39_119947	3066	6.75412	6.75412	8.11624
k39_100527	1419	3.97163	3.97163	2.62379
k39_139665	1949	4.81823	4.81823	5.60486
k39_2327	1376	5.01305	5.01305	2.87983
k39_2334	1104	3.04927	3.04927	1.84543
k39_61226	18565	9.04708	9.04708	9.46483
k39_22154	1462	6.19512	6.19512	5.80022
k39_139716	2726	4.40839	4.40839	3.74542
k39_120038	1529	3.2364	3.2364	1.10663
k39_80808	1897	4.74013	4.74013	3.87289
k39_100595	1222	3.57183	3.57183	1.894
k39_120048	1034	3.00452	3.00452	0.810849
k39_2403	1218	2.84738	2.84738	1.36844
k39_80846	1554	6.37892	6.37892	2.28539
k39_139768	1110	2.64375	2.64375	0.807266
k39_61302	4150	6.47025	6.47025	4.87879
k39_120106	1843	6.15889	6.15889	5.95883
k39_61326	1480	7.95789	7.95789	7.27587
k39_80860	8191	7.04912	7.04912	7.25834
k39_2456	7031	5.44354	5.44354	5.6163
k39_22230	1777	4.29564	4.29564	1.84428
k39_139806	1165	3.2069	3.2069	3.23917
k39_22235	1478	4.30873	4.30873	4.13972
k39_22236	1210	3.37547	3.37547	2.76161
k39_61364	1088	2.5629	2.5629	1.48216
k39_41680	1483	8.28732	8.28732	8.63287
k39_100699	3734	4.50307	4.50307	2.26455
k39_80910	1583	4.5492	4.5492	3.79104
k39_41702	1568	8.37518	8.37518	6.72149
k39_120152	2839	8.58126	8.58126	14.7576
k39_2511	1023	2.43414	2.43414	0.750528
k39_61393	1113	3.56386	3.56386	3.55388
k39_41708	5341	5.33019	5.33019	5.40232
k39_139861	1535	2.41227	2.41227	1.23958
k39_100741	1709	3.57152	3.57152	2.56853
k39_2519	12120	9.52314	9.52314	11.4341
k39_41748	1172	3.04892	3.04892	1.31984
k39_100759	2357	8.79293	8.79293	5.84791
k39_80958	3534	10.023	10.023	15.7636
k39_41780	1000	1.90118	1.90118	0.527328
k39_2543	3647	7.666	7.666	8.55187
k39_61447	2698	6.11381	6.11381	5.05572
k39_139922	1721	3.28326	3.28326	1.84137
k39_120228	6571	6.981	6.981	6.49716
k39_22363	1516	2.66911	2.66911	1.06552
k39_2573	1780	4.18773	4.18773	4.60435
k39_120253	1191	3.40346	3.40346	1.62936
k39_120259	1041	2.32772	2.32772	0.919448
k39_100813	1032	2.38549	2.38549	1.02717
k39_100817	1670	4.40395	4.40395	1.77877
k39_100819	1963	6.48704	6.48704	8.36036
k39_22407	1767	4.42115	4.42115	4.02853
k39_100837	1098	2.54747	2.54747	0.896374
k39_120281	3611	5.04305	5.04305	4.27359
k39_2633	2836	8.33879	8.33879	7.99546
k39_22446	1307	2.08211	2.08211	1.54256
k39_22452	1121	3.48404	3.48404	3.08093
k39_61570	2414	6.02783	6.02783	10.332
k39_120298	18957	7.82592	7.82592	7.56446
k39_41911	3426	8.35806	8.35806	7.0403
k39_100905	2124	3.49899	3.49899	2.26737
k39_22471	10160	8.89211	8.89211	10.8368
k39_22476	1433	4.18394	4.18394	2.01138
k39_81102	2444	4.43243	4.43243	1.96468
k39_22484	1079	3.07643	3.07643	1.85946
k39_2710	1632	3.94332	3.94332	1.18247
k39_22488	1310	5.38448	5.38448	4.04876
k39_22490	1864	7.95449	7.95449	9.01135
k39_2720	1048	4.37639	4.37639	5.75783
k39_2721	1072	4.10521	4.10521	2.48728
k39_81121	1010	2.65698	2.65698	0.907815
k39_140107	6365	7.0008	7.0008	6.87264
k39_22511	7033	8.57693	8.57693	8.56433
k39_140112	1276	6.75133	6.75133	7.56837
k39_100967	1181	3.61397	3.61397	2.11685
k39_140131	2194	3.71135	3.71135	2.01455
k39_100981	6040	7.94329	7.94329	7.596
k39_140134	6456	8.92912	8.92912	15.6196
k39_120422	1306	3.38408	3.38408	2.54673
k39_42039	1567	4.04093	4.04093	2.19607
k39_81185	1540	3.30144	3.30144	3.40438
